expr	time	Date
"cpi_inflator(from_fy = ""2014-15"", to_fy = ""2015-16"")"	6475601	2022-06-08
"wage_inflator(from_fy = ""2014-15"", to_fy = ""2015-16"")"	696601	2022-06-08
"lf_inflator_fy(from_fy = ""2014-15"", to_fy = ""2015-16"")"	563702	2022-06-08
