Age,obsTime,obsValue
1,2003-Q1,251016
1,2003-Q2,250356
1,2003-Q3,250391
1,2003-Q4,250477
1,2004-Q1,250464
1,2004-Q2,250613
1,2004-Q3,251432
1,2004-Q4,252241
1,2005-Q1,253063
1,2005-Q2,253896
1,2005-Q3,255230
1,2005-Q4,256526
1,2006-Q1,257695
1,2006-Q2,258624
1,2006-Q3,261571
1,2006-Q4,264477
1,2007-Q1,267518
1,2007-Q2,270527
1,2007-Q3,274659
1,2007-Q4,278285
1,2008-Q1,281747
1,2008-Q2,284625
1,2008-Q3,286620
1,2008-Q4,288335
1,2009-Q1,290044
1,2009-Q2,291342
1,2009-Q3,292237
1,2009-Q4,292749
1,2010-Q1,293227
1,2010-Q2,293410
1,2010-Q3,294011
1,2010-Q4,294311
1,2011-Q1,294550
1,2011-Q2,294616
1,2011-Q3,294762
1,2011-Q4,294773
1,2012-Q1,294954
1,2012-Q2,295000
1,2012-Q3,298500
1,2012-Q4,301631
1,2013-Q1,304478
1,2013-Q2,306929
1,2013-Q3,308222
1,2013-Q4,309273
1,2014-Q1,310449
1,2014-Q2,311416
1,2014-Q3,310626
1,2014-Q4,309698
1,2015-Q1,309045
1,2015-Q2,308292
1,2015-Q3,308947
1,2015-Q4,309778
1,2016-Q1,310863
1,2016-Q2,312044
1,2016-Q3,314423
1,2016-Q4,316725
1,2017-Q1,319017
1,2017-Q2,321015
1,2017-Q3,317057
1,2017-Q4,312848
2,1981-Q3,225795
2,1981-Q4,226338
2,1982-Q1,226784
2,1982-Q2,227306
2,1982-Q3,229189
2,1982-Q4,230893
2,1983-Q1,232493
2,1983-Q2,234157
2,1983-Q3,235152
2,1983-Q4,236136
2,1984-Q1,237019
2,1984-Q2,238073
2,1984-Q3,239183
2,1984-Q4,240300
2,1985-Q1,241399
2,1985-Q2,242494
2,1985-Q3,242320
2,1985-Q4,242163
2,1986-Q1,241791
2,1986-Q2,241525
2,1986-Q3,242380
2,1986-Q4,243227
2,1987-Q1,244068
2,1987-Q2,244950
2,1987-Q3,244767
2,1987-Q4,244622
2,1988-Q1,244656
2,1988-Q2,244571
2,1988-Q3,245634
2,1988-Q4,246380
2,1989-Q1,246814
2,1989-Q2,246951
2,1989-Q3,247776
2,1989-Q4,248547
2,1990-Q1,249209
2,1990-Q2,249829
2,1990-Q3,250643
2,1990-Q4,251311
2,1991-Q1,252149
2,1991-Q2,252883
2,1991-Q3,254533
2,1991-Q4,256032
2,1992-Q1,257544
2,1992-Q2,258951
2,1992-Q3,259509
2,1992-Q4,259903
2,1993-Q1,260269
2,1993-Q2,260367
2,1993-Q3,260019
2,1993-Q4,259355
2,1994-Q1,258671
2,1994-Q2,257860
2,1994-Q3,258332
2,1994-Q4,258532
2,1995-Q1,258776
2,1995-Q2,259208
2,1995-Q3,259199
2,1995-Q4,259272
2,1996-Q1,259090
2,1996-Q2,259111
2,1996-Q3,259452
2,1996-Q4,259840
2,1997-Q1,260036
2,1997-Q2,260191
2,1997-Q3,259333
2,1997-Q4,258530
2,1998-Q1,257673
2,1998-Q2,256723
2,1998-Q3,256576
2,1998-Q4,256401
2,1999-Q1,256123
2,1999-Q2,255860
2,1999-Q3,255002
2,1999-Q4,254129
2,2000-Q1,253148
2,2000-Q2,252181
2,2000-Q3,252719
2,2000-Q4,253365
2,2001-Q1,254013
2,2001-Q2,254645
2,2001-Q3,254785
2,2001-Q4,254987
2,2002-Q1,255125
2,2002-Q2,255225
2,2002-Q3,254999
2,2002-Q4,254914
2,2003-Q1,254771
2,2003-Q2,254603
2,2003-Q3,253984
2,2003-Q4,253423
2,2004-Q1,252701
2,2004-Q2,252008
2,2004-Q3,252190
2,2004-Q4,252439
2,2005-Q1,252685
2,2005-Q2,252876
2,2005-Q3,253767
2,2005-Q4,254694
2,2006-Q1,255566
2,2006-Q2,256466
2,2006-Q3,257959
2,2006-Q4,259445
2,2007-Q1,261163
2,2007-Q2,262849
2,2007-Q3,265804
2,2007-Q4,268848
2,2008-Q1,272139
2,2008-Q2,275386
2,2008-Q3,278793
2,2008-Q4,281805
2,2009-Q1,284452
2,2009-Q2,286329
2,2009-Q3,287778
2,2009-Q4,289050
2,2010-Q1,290436
2,2010-Q2,291536
2,2010-Q3,291962
2,2010-Q4,292354
2,2011-Q1,292818
2,2011-Q2,292984
2,2011-Q3,294564
2,2011-Q4,296265
2,2012-Q1,298169
2,2012-Q2,299930
2,2012-Q3,299964
2,2012-Q4,300060
2,2013-Q1,300250
2,2013-Q2,300416
2,2013-Q3,303095
2,2013-Q4,305469
2,2014-Q1,307748
2,2014-Q2,309581
2,2014-Q3,310639
2,2014-Q4,311642
2,2015-Q1,312839
2,2015-Q2,313848
2,2015-Q3,313034
2,2015-Q4,312358
2,2016-Q1,311913
2,2016-Q2,311507
2,2016-Q3,312490
2,2016-Q4,313541
2,2017-Q1,314588
2,2017-Q2,315410
2,2017-Q3,317538
2,2017-Q4,319544
3,1981-Q3,228634
3,1981-Q4,228408
3,1982-Q1,228072
3,1982-Q2,227811
3,1982-Q3,228245
3,1982-Q4,228517
3,1983-Q1,228738
3,1983-Q2,228964
3,1983-Q3,230603
3,1983-Q4,232132
3,1984-Q1,233564
3,1984-Q2,235148
3,1984-Q3,236281
3,1984-Q4,237358
3,1985-Q1,238398
3,1985-Q2,239445
3,1985-Q3,240692
3,1985-Q4,241982
3,1986-Q1,243142
3,1986-Q2,244353
3,1986-Q3,244192
3,1986-Q4,244104
3,1987-Q1,244022
3,1987-Q2,244036
3,1987-Q3,245059
3,1987-Q4,245964
3,1988-Q1,247031
3,1988-Q2,248018
3,1988-Q3,248284
3,1988-Q4,248389
3,1989-Q1,248364
3,1989-Q2,248221
3,1989-Q3,248737
3,1989-Q4,249023
3,1990-Q1,249116
3,1990-Q2,249088
3,1990-Q3,249750
3,1990-Q4,250255
3,1991-Q1,250907
3,1991-Q2,251425
3,1991-Q3,252291
3,1991-Q4,252981
3,1992-Q1,253662
3,1992-Q2,254217
3,1992-Q3,255726
3,1992-Q4,257138
3,1993-Q1,258528
3,1993-Q2,259786
3,1993-Q3,260330
3,1993-Q4,260664
3,1994-Q1,261022
3,1994-Q2,261296
3,1994-Q3,260888
3,1994-Q4,260117
3,1995-Q1,259312
3,1995-Q2,258718
3,1995-Q3,259092
3,1995-Q4,259562
3,1996-Q1,259741
3,1996-Q2,260095
3,1996-Q3,260359
3,1996-Q4,260645
3,1997-Q1,260754
3,1997-Q2,260814
3,1997-Q3,261096
3,1997-Q4,261413
3,1998-Q1,261682
3,1998-Q2,261981
3,1998-Q3,261150
3,1998-Q4,260336
3,1999-Q1,259425
3,1999-Q2,258484
3,1999-Q3,258353
3,1999-Q4,258211
3,2000-Q1,257933
3,2000-Q2,257625
3,2000-Q3,256725
3,2000-Q4,255922
3,2001-Q1,255183
3,2001-Q2,254321
3,2001-Q3,254769
3,2001-Q4,255362
3,2002-Q1,255810
3,2002-Q2,256267
3,2002-Q3,256464
3,2002-Q4,256726
3,2003-Q1,256875
3,2003-Q2,257025
3,2003-Q3,256862
3,2003-Q4,256867
3,2004-Q1,256729
3,2004-Q2,256689
3,2004-Q3,256072
3,2004-Q4,255547
3,2005-Q1,254959
3,2005-Q2,254359
3,2005-Q3,254628
3,2005-Q4,254961
3,2006-Q1,255240
3,2006-Q2,255509
3,2006-Q3,256574
3,2006-Q4,257744
3,2007-Q1,259013
3,2007-Q2,260237
3,2007-Q3,261865
3,2007-Q4,263544
3,2008-Q1,265554
3,2008-Q2,267512
3,2008-Q3,270709
3,2008-Q4,273992
3,2009-Q1,277387
3,2009-Q2,280443
3,2009-Q3,282729
3,2009-Q4,284583
3,2010-Q1,286173
3,2010-Q2,287139
3,2010-Q3,288356
3,2010-Q4,289542
3,2011-Q1,290897
3,2011-Q2,291934
3,2011-Q3,293457
3,2011-Q4,294936
3,2012-Q1,296518
3,2012-Q2,297775
3,2012-Q3,299448
3,2012-Q4,301183
3,2013-Q1,303040
3,2013-Q2,304784
3,2013-Q3,304828
3,2013-Q4,304830
3,2014-Q1,305002
3,2014-Q2,305045
3,2014-Q3,307189
3,2014-Q4,309050
3,2015-Q1,310835
3,2015-Q2,312136
3,2015-Q3,313056
3,2015-Q4,314076
3,2016-Q1,315394
3,2016-Q2,316679
3,2016-Q3,316302
3,2016-Q4,315980
3,2017-Q1,315703
3,2017-Q2,315249
3,2017-Q3,316022
3,2017-Q4,316793
4,1981-Q3,230567
4,1981-Q4,230886
4,1982-Q1,231090
4,1982-Q2,231460
4,1982-Q3,231111
4,1982-Q4,230552
4,1983-Q1,229959
4,1983-Q2,229300
4,1983-Q3,229448
4,1983-Q4,229634
4,1984-Q1,229779
4,1984-Q2,230145
4,1984-Q3,231810
4,1984-Q4,233481
4,1985-Q1,235104
4,1985-Q2,236730
4,1985-Q3,237888
4,1985-Q4,239115
4,1986-Q1,240205
4,1986-Q2,241426
4,1986-Q3,242721
4,1986-Q4,243997
4,1987-Q1,245258
4,1987-Q2,246586
4,1987-Q3,246657
4,1987-Q4,246727
4,1988-Q1,246974
4,1988-Q2,247156
4,1988-Q3,248422
4,1988-Q4,249547
4,1989-Q1,250535
4,1989-Q2,251303
4,1989-Q3,251224
4,1989-Q4,251256
4,1990-Q1,251275
4,1990-Q2,251379
4,1990-Q3,251492
4,1990-Q4,251337
4,1991-Q1,251188
4,1991-Q2,250787
4,1991-Q3,251479
4,1991-Q4,251973
4,1992-Q1,252501
4,1992-Q2,252874
4,1992-Q3,253485
4,1992-Q4,254046
4,1993-Q1,254482
4,1993-Q2,254818
4,1993-Q3,256433
4,1993-Q4,257872
4,1994-Q1,259378
4,1994-Q2,260900
4,1994-Q3,261467
4,1994-Q4,261787
4,1995-Q1,262135
4,1995-Q2,262646
4,1995-Q3,262031
4,1995-Q4,261485
4,1996-Q1,260523
4,1996-Q2,259706
4,1996-Q3,260429
4,1996-Q4,261059
4,1997-Q1,261493
4,1997-Q2,261780
4,1997-Q3,261995
4,1997-Q4,262234
4,1998-Q1,262443
4,1998-Q2,262651
4,1998-Q3,262979
4,1998-Q4,263333
4,1999-Q1,263686
4,1999-Q2,264143
4,1999-Q3,263303
4,1999-Q4,262474
4,2000-Q1,261462
4,2000-Q2,260425
4,2000-Q3,260191
4,2000-Q4,260001
4,2001-Q1,259881
4,2001-Q2,259662
4,2001-Q3,258614
4,2001-Q4,257785
4,2002-Q1,256892
4,2002-Q2,256096
4,2002-Q3,256626
4,2002-Q4,257228
4,2003-Q1,257733
4,2003-Q2,258193
4,2003-Q3,258308
4,2003-Q4,258628
4,2004-Q1,258812
4,2004-Q2,259057
4,2004-Q3,259010
4,2004-Q4,259069
4,2005-Q1,259141
4,2005-Q2,259189
4,2005-Q3,258574
4,2005-Q4,258113
4,2006-Q1,257585
4,2006-Q2,257052
4,2006-Q3,257438
4,2006-Q4,257903
4,2007-Q1,258510
4,2007-Q2,259013
4,2007-Q3,260198
4,2007-Q4,261462
4,2008-Q1,262935
4,2008-Q2,264356
4,2008-Q3,266377
4,2008-Q4,268365
4,2009-Q1,270498
4,2009-Q2,272309
4,2009-Q3,275305
4,2009-Q4,278361
4,2010-Q1,281510
4,2010-Q2,284490
4,2010-Q3,285872
4,2010-Q4,287003
4,2011-Q1,287892
4,2011-Q2,288183
4,2011-Q3,290359
4,2011-Q4,292684
4,2012-Q1,295116
4,2012-Q2,297267
4,2012-Q3,298612
4,2012-Q4,299897
4,2013-Q1,301206
4,2013-Q2,302307
4,2013-Q3,303962
4,2013-Q4,305670
4,2014-Q1,307475
4,2014-Q2,309056
4,2014-Q3,309058
4,2014-Q4,309199
4,2015-Q1,309623
4,2015-Q2,309845
4,2015-Q3,311267
4,2015-Q4,312552
4,2016-Q1,313753
4,2016-Q2,314536
4,2016-Q3,316005
4,2016-Q4,317541
4,2017-Q1,319095
4,2017-Q2,320481
4,2017-Q3,319946
4,2017-Q4,319411
5,1981-Q3,234639
5,1981-Q4,234057
5,1982-Q1,233317
5,1982-Q2,232667
5,1982-Q3,232889
5,1982-Q4,232925
5,1983-Q1,232961
5,1983-Q2,233012
5,1983-Q3,232372
5,1983-Q4,231609
5,1984-Q1,230757
5,1984-Q2,230065
5,1984-Q3,230457
5,1984-Q4,230900
5,1985-Q1,231294
5,1985-Q2,231703
5,1985-Q3,233442
5,1985-Q4,235289
5,1986-Q1,236960
5,1986-Q2,238671
5,1986-Q3,240007
5,1986-Q4,241302
5,1987-Q1,242516
5,1987-Q2,243629
5,1987-Q3,245044
5,1987-Q4,246437
5,1988-Q1,247934
5,1988-Q2,249282
5,1988-Q3,249836
5,1988-Q4,250114
5,1989-Q1,250246
5,1989-Q2,250234
5,1989-Q3,251157
5,1989-Q4,252095
5,1990-Q1,252911
5,1990-Q2,253821
5,1990-Q3,253826
5,1990-Q4,253797
5,1991-Q1,254019
5,1991-Q2,254056
5,1991-Q3,253781
5,1991-Q4,253320
5,1992-Q1,252916
5,1992-Q2,252376
5,1992-Q3,252762
5,1992-Q4,253080
5,1993-Q1,253344
5,1993-Q2,253422
5,1993-Q3,254100
5,1993-Q4,254608
5,1994-Q1,255117
5,1994-Q2,255646
5,1994-Q3,257377
5,1994-Q4,258890
5,1995-Q1,260569
5,1995-Q2,262494
5,1995-Q3,263046
5,1995-Q4,263652
5,1996-Q1,263848
5,1996-Q2,264238
5,1996-Q3,263631
5,1996-Q4,263094
5,1997-Q1,262511
5,1997-Q2,261887
5,1997-Q3,262378
5,1997-Q4,262839
5,1998-Q1,263332
5,1998-Q2,263690
5,1998-Q3,263911
5,1998-Q4,264174
5,1999-Q1,264375
5,1999-Q2,264576
5,1999-Q3,265041
5,1999-Q4,265559
5,2000-Q1,265983
5,2000-Q2,266414
5,2000-Q3,265458
5,2000-Q4,264503
5,2001-Q1,263588
5,2001-Q2,262541
5,2001-Q3,262184
5,2001-Q4,261830
5,2002-Q1,261474
5,2002-Q2,261085
5,2002-Q3,260178
5,2002-Q4,259498
5,2003-Q1,258853
5,2003-Q2,258171
5,2003-Q3,258568
5,2003-Q4,259134
5,2004-Q1,259599
5,2004-Q2,260095
5,2004-Q3,260374
5,2004-Q4,260711
5,2005-Q1,261132
5,2005-Q2,261566
5,2005-Q3,261571
5,2005-Q4,261690
5,2006-Q1,261820
5,2006-Q2,261894
5,2006-Q3,261437
5,2006-Q4,261013
5,2007-Q1,260772
5,2007-Q2,260384
5,2007-Q3,260830
5,2007-Q4,261324
5,2008-Q1,262182
5,2008-Q2,262874
5,2008-Q3,264330
5,2008-Q4,265797
5,2009-Q1,267516
5,2009-Q2,268897
5,2009-Q3,270628
5,2009-Q4,272395
5,2010-Q1,274351
5,2010-Q2,276083
5,2010-Q3,279061
5,2010-Q4,282137
5,2011-Q1,285458
5,2011-Q2,288653
5,2011-Q3,289337
5,2011-Q4,290468
5,2012-Q1,291953
5,2012-Q2,293614
5,2012-Q3,295732
5,2012-Q4,297912
5,2013-Q1,300143
5,2013-Q2,302145
5,2013-Q3,303248
5,2013-Q4,304280
5,2014-Q1,305429
5,2014-Q2,306292
5,2014-Q3,307740
5,2014-Q4,309414
5,2015-Q1,311385
5,2015-Q2,313171
5,2015-Q3,313163
5,2015-Q4,313425
5,2016-Q1,313993
5,2016-Q2,314636
5,2016-Q3,315418
5,2016-Q4,316382
5,2017-Q1,317464
5,2017-Q2,318337
5,2017-Q3,319599
5,2017-Q4,320879
6,1981-Q3,241675
6,1981-Q4,240460
6,1982-Q1,239051
6,1982-Q2,237725
6,1982-Q3,236995
6,1982-Q4,236043
6,1983-Q1,235007
6,1983-Q2,233919
6,1983-Q3,233926
6,1983-Q4,233908
6,1984-Q1,233846
6,1984-Q2,233942
6,1984-Q3,233343
6,1984-Q4,232718
6,1985-Q1,232061
6,1985-Q2,231440
6,1985-Q3,231961
6,1985-Q4,232610
6,1986-Q1,233115
6,1986-Q2,233811
6,1986-Q3,235604
6,1986-Q4,237498
6,1987-Q1,239464
6,1987-Q2,241510
6,1987-Q3,242833
6,1987-Q4,244055
6,1988-Q1,245314
6,1988-Q2,246362
6,1988-Q3,248097
6,1988-Q4,249579
6,1989-Q1,250962
6,1989-Q2,252189
6,1989-Q3,252286
6,1989-Q4,252428
6,1990-Q1,252530
6,1990-Q2,252567
6,1990-Q3,253434
6,1990-Q4,254171
6,1991-Q1,255090
6,1991-Q2,255862
6,1991-Q3,255908
6,1991-Q4,255766
6,1992-Q1,255767
6,1992-Q2,255663
6,1992-Q3,255126
6,1992-Q4,254480
