obsTime	obsValue
1978-02	6416147
1978-03	6419635
1978-04	6424050
1978-05	6428941
1978-06	6433588
1978-07	6436563
1978-08	6438292
1978-09	6440096
1978-10	6442704
1978-11	6447247
1978-12	6452543
1979-01	6458262
1979-02	6464148
1979-03	6470271
1979-04	6475558
1979-05	6481342
1979-06	6489814
1979-07	6501527
1979-08	6516178
1979-09	6533560
1979-10	6552482
1979-11	6571017
1979-12	6587865
1980-01	6603472
1980-02	6618405
1980-03	6634852
1980-04	6654241
1980-05	6675210
1980-06	6693535
1980-07	6707331
1980-08	6716618
1980-09	6722415
1980-10	6726949
1980-11	6732424
1980-12	6739786
1981-01	6748099
1981-02	6756354
1981-03	6763909
1981-04	6772274
1981-05	6783416
1981-06	6797256
1981-07	6810802
1981-08	6821412
1981-09	6829479
1981-10	6836195
1981-11	6842963
1981-12	6851000
1982-01	6860657
1982-02	6870750
1982-03	6878771
1982-04	6882226
1982-05	6883308
1982-06	6886877
1982-07	6896036
1982-08	6909544
1982-09	6924303
1982-10	6937483
1982-11	6945789
1982-12	6948284
1983-01	6946788
1983-02	6945574
1983-03	6947696
1983-04	6955564
1983-05	6968179
1983-06	6982238
1983-07	6996535
1983-08	7009209
1983-09	7018369
1983-10	7023908
1983-11	7029436
1983-12	7037591
1984-01	7049719
1984-02	7066713
1984-03	7086377
1984-04	7106119
1984-05	7122370
1984-06	7134605
1984-07	7142596
1984-08	7146873
1984-09	7150387
1984-10	7156110
1984-11	7164426
1984-12	7175115
1985-01	7188164
1985-02	7202255
1985-03	7217062
1985-04	7234060
1985-05	7251517
1985-06	7271292
1985-07	7293750
1985-08	7318521
1985-09	7344594
1985-10	7370402
1985-11	7397094
1985-12	7424614
1986-01	7451051
1986-02	7475524
1986-03	7497026
1986-04	7552912
1986-05	7567916
1986-06	7582074
1986-07	7595502
1986-08	7609781
1986-09	7623059
1986-10	7634742
1986-11	7646007
1986-12	7657541
1987-01	7675242
1987-02	7691087
1987-03	7708140
1987-04	7724145
1987-05	7737480
1987-06	7747753
1987-07	7755781
1987-08	7764757
1987-09	7777076
1987-10	7793224
1987-11	7814587
1987-12	7840798
1988-01	7869406
1988-02	7895959
1988-03	7917051
1988-04	7932446
1988-05	7943762
1988-06	7953033
1988-07	7963715
1988-08	7978247
1988-09	7997978
1988-10	8022679
1988-11	8048575
1988-12	8074345
1989-01	8100086
1989-02	8125177
1989-03	8149839
1989-04	8174075
1989-05	8196913
1989-06	8218522
1989-07	8238941
1989-08	8258368
1989-09	8277083
1989-10	8295168
1989-11	8312320
1989-12	8328714
1990-01	8345133
1990-02	8364525
1990-03	8387615
1990-04	8412997
1990-05	8438292
1990-06	8459827
1990-07	8474667
1990-08	8482604
1990-09	8485499
1990-10	8486062
1990-11	8486670
1990-12	8488520
1991-01	8490669
1991-02	8491136
1991-03	8487722
1991-04	8481444
1991-05	8474653
1991-06	8469877
1991-07	8469068
1991-08	8472681
1991-09	8480127
1991-10	8489586
1991-11	8498665
1991-12	8505526
1992-01	8510305
1992-02	8515214
1992-03	8522972
1992-04	8533799
1992-05	8547288
1992-06	8561220
1992-07	8572583
1992-08	8579121
1992-09	8578948
1992-10	8573249
1992-11	8564551
1992-12	8555343
1993-01	8547553
1993-02	8542221
1993-03	8539753
1993-04	8540113
1993-05	8544943
1993-06	8556070
1993-07	8574487
1993-08	8597928
1993-09	8623369
1993-10	8647336
1993-11	8666628
1993-12	8680045
1994-01	8688245
1994-02	8694366
1994-03	8701812
1994-04	8712970
1994-05	8727694
1994-06	8743060
1994-07	8757483
1994-08	8770025
1994-09	8780527
1994-10	8790381
1994-11	8802155
1994-12	8817849
1995-01	8837927
1995-02	8860292
1995-03	8883018
1995-04	8904831
1995-05	8924158
1995-06	8942408
1995-07	8959185
1995-08	8975219
1995-09	8991260
1995-10	9006864
1995-11	9021617
1995-12	9034870
1996-01	9045927
1996-02	9054473
1996-03	9061366
1996-04	9066681
1996-05	9071384
1996-06	9075152
1996-07	9077431
1996-08	9079160
1996-09	9081048
1996-10	9085536
1996-11	9092700
1996-12	9101864
1997-01	9110751
1997-02	9116968
1997-03	9118566
1997-04	9116522
1997-05	9112104
1997-06	9108848
1997-07	9110468
1997-08	9117216
1997-09	9127718
1997-10	9139203
1997-11	9150165
1997-12	9159475
1998-01	9167138
1998-02	9174912
1998-03	9184056
1998-04	9196169
1998-05	9210635
1998-06	9226123
1998-07	9239709
1998-08	9250359
1998-09	9257330
1998-10	9260538
1998-11	9260636
1998-12	9258983
1999-01	9257429
1999-02	9257031
1999-03	9258993
1999-04	9264290
1999-05	9274044
1999-06	9288109
1999-07	9305728
1999-08	9325932
1999-09	9346931
1999-10	9366851
1999-11	9385208
1999-12	9402019
2000-01	9417850
2000-02	9435105
2000-03	9454594
2000-04	9476416
2000-05	9499157
2000-06	9519720
2000-07	9535655
2000-08	9543621
2000-09	9543961
2000-10	9539057
2000-11	9533681
2000-12	9534052
2001-01	9544370
2001-02	9563882
2001-03	9589782
2001-04	9631844
2001-05	9655964
2001-06	9675251
2001-07	9690204
2001-08	9702971
2001-09	9716189
2001-10	9729428
2001-11	9740938
2001-12	9747396
2002-01	9749273
2002-02	9748857
2002-03	9748617
2002-04	9751541
2002-05	9760316
2002-06	9774049
2002-07	9792191
2002-08	9814886
2002-09	9841898
2002-10	9873337
2002-11	9906927
2002-12	9938737
2003-01	9963973
2003-02	9979411
2003-03	9985458
2003-04	9984140
2003-05	9979860
2003-06	9976736
2003-07	9977122
2003-08	9981539
2003-09	9989391
2003-10	9999475
2003-11	10010154
2003-12	10020051
2004-01	10028329
2004-02	10035142
2004-03	10041785
2004-04	10049634
2004-05	10060060
2004-06	10075235
2004-07	10095247
2004-08	10118313
2004-09	10143067
2004-10	10169391
2004-11	10198475
2004-12	10231041
2005-01	10266424
2005-02	10302640
2005-03	10336943
2005-04	10366375
2005-05	10389833
2005-06	10406933
2005-07	10419622
2005-08	10431488
2005-09	10444456
2005-10	10459527
2005-11	10475588
2005-12	10492051
2006-01	10509197
2006-02	10527542
2006-03	10547692
2006-04	10571034
2006-05	10597362
2006-06	10624848
2006-07	10651932
2006-08	10676345
2006-09	10697012
2006-10	10714856
2006-11	10732258
2006-12	10751016
2007-01	10771842
2007-02	10794413
2007-03	10817846
2007-04	10841597
2007-05	10865808
2007-06	10891700
2007-07	10918899
2007-08	10946466
2007-09	10974681
2007-10	11002744
2007-11	11029937
2007-12	11055767
2008-01	11080865
2008-02	11106148
2008-03	11132954
2008-04	11160666
2008-05	11187779
2008-06	11212319
2008-07	11233057
2008-08	11250178
2008-09	11265452
2008-10	11282191
2008-11	11302490
2008-12	11326636
2009-01	11352112
2009-02	11375748
2009-03	11395488
2009-04	11410937
2009-05	11422983
2009-06	11432477
2009-07	11440790
2009-08	11450458
2009-09	11463356
2009-10	11479226
2009-11	11497755
2009-12	11516630
2010-01	11532708
2010-02	11544457
2010-03	11552103
2010-04	11558802
2010-05	11568710
2010-06	11586594
2010-07	11613753
2010-08	11646913
2010-09	11681162
2010-10	11712105
2010-11	11735948
2010-12	11751721
2011-01	11761371
2011-02	11766994
2011-03	11771618
2011-04	11777880
2011-05	11788064
2011-06	11802207
2011-07	11819736
2011-08	11839421
2011-09	11857254
2011-10	11870980
2011-11	11878855
2011-12	11883112
2012-01	11888155
2012-02	11897985
2012-03	11913743
2012-04	11933155
2012-05	11953326
2012-06	11971208
2012-07	11985018
2012-08	11995905
2012-09	12007079
2012-10	12020503
2012-11	12037462
2012-12	12057979
2013-01	12079780
2013-02	12101549
2013-03	12121210
2013-04	12136891
2013-05	12148534
2013-06	12156543
2013-07	12162315
2013-08	12165086
2013-09	12165009
2013-10	12163582
2013-11	12163334
2013-12	12166638
2014-01	12175785
2014-02	12191529
2014-03	12212936
2014-04	12236125
2014-05	12258043
2014-06	12277249
2014-07	12294170
2014-08	12309040
2014-09	12323802
2014-10	12338983
2014-11	12354790
2014-12	12372001
2015-01	12391064
2015-02	12411784
2015-03	12433707
2015-04	12456127
2015-05	12478163
2015-06	12500330
2015-07	12523277
2015-08	12548278
2015-09	12574447
2015-10	12598892
2015-11	12620373
2015-12	12637185
2016-01	12648773
2016-02	12657865
2016-03	12666028
2016-04	12675326
2016-05	12684424
2016-06	12691590
2016-07	12697267
2016-08	12703003
2016-09	12709377
2016-10	12719867
2016-11	12735687
2016-12	12756560
2017-01	12782682
2017-02	12813103
2017-03	12846994
2017-04	12884519
2017-05	12922824
2017-06	12959295
2017-07	12992453
2017-08	13023424
2017-09	13054401
2017-10	13085840
2017-11	13117292
2017-12	13147684
2018-01	13173947
2018-02	13194414
2018-03	13210726
2018-04	13225271
2018-05	13241308
2018-06	13261247
2018-07	13283065
2018-08	13305226
2018-09	13327798
2018-10	13350958
2018-11	13375352
2018-12	13400999
2019-01	13427768
