variable	inflator	h	fy_year
Grs_int_amt	0.67	1	2014-15
Aust_govt_pnsn_allw_amt	1.07	1	2014-15
Unfranked_Div_amt	0.96	1	2014-15
Frk_Div_amt	0.79	1	2014-15
Dividends_franking_cr_amt	0.81	1	2014-15
Gross_rent_amt	1.12	1	2014-15
Other_rent_ded_amt	1.18	1	2014-15
Rent_int_ded_amt	0.98	1	2014-15
Rent_cap_wks_amt	1.28	1	2014-15
Net_farm_management_amt	2.46	1	2014-15
Total_PP_BI_amt	1.4	1	2014-15
Total_NPP_BI_amt	1.05	1	2014-15
Total_PP_BE_amt	1.2	1	2014-15
Total_NPP_BE_amt	1.15	1	2014-15
Net_CG_amt	1.37	1	2014-15
Tot_CY_CG_amt	1.3	1	2014-15
Net_PT_PP_dsn	1.77	1	2014-15
Net_PT_NPP_dsn	1	1	2014-15
Taxed_othr_pnsn_amt	0.96	1	2014-15
Untaxed_othr_pnsn_amt	1.15	1	2014-15
Other_foreign_inc_amt	1.72	1	2014-15
Other_inc_amt	1.02	1	2014-15
Div_Ded_amt	0.64	1	2014-15
Intrst_Ded_amt	0.84	1	2014-15
Gift_amt	0.84	1	2014-15
PP_loss_claimed	1.22	1	2014-15
NPP_loss_claimed	0.85	1	2014-15
Rep_frng_ben_amt	1.12	1	2014-15
Med_Exp_TO_amt	0.64	1	2014-15
Asbl_forgn_source_incm_amt	1.2	1	2014-15
Spouse_adjusted_taxable_inc	0.9	1	2014-15
Net_fincl_invstmt_lss_amt	0.58	1	2014-15
Cr_PAYG_ITI_amt	0.96	1	2014-15
TFN_amts_wheld_gr_intst_amt	1.05	1	2014-15
TFN_amts_wheld_divs_amt	1.23	1	2014-15
Hrs_to_prepare_BPI_cnt	0.33	1	2014-15
Help_debt	1.68	1	2014-15
Grs_int_amt	0.67	2	2015-16
Aust_govt_pnsn_allw_amt	1.07	2	2015-16
Unfranked_Div_amt	0.96	2	2015-16
Frk_Div_amt	0.79	2	2015-16
Dividends_franking_cr_amt	0.81	2	2015-16
Gross_rent_amt	1.16	2	2015-16
Other_rent_ded_amt	1.23	2	2015-16
Rent_int_ded_amt	0.98	2	2015-16
Rent_cap_wks_amt	1.34	2	2015-16
Net_farm_management_amt	2.46	2	2015-16
Total_PP_BI_amt	1.4	2	2015-16
Total_NPP_BI_amt	1.05	2	2015-16
Total_PP_BE_amt	1.2	2	2015-16
Total_NPP_BE_amt	1.15	2	2015-16
Net_CG_amt	1.37	2	2015-16
Tot_CY_CG_amt	1.3	2	2015-16
Net_PT_PP_dsn	1.77	2	2015-16
Net_PT_NPP_dsn	0.99	2	2015-16
Taxed_othr_pnsn_amt	0.96	2	2015-16
Untaxed_othr_pnsn_amt	1.17	2	2015-16
Other_foreign_inc_amt	1.72	2	2015-16
Other_inc_amt	1.02	2	2015-16
Div_Ded_amt	0.56	2	2015-16
Intrst_Ded_amt	0.84	2	2015-16
Gift_amt	0.84	2	2015-16
PP_loss_claimed	1.22	2	2015-16
NPP_loss_claimed	0.85	2	2015-16
Rep_frng_ben_amt	1.16	2	2015-16
Med_Exp_TO_amt	0.62	2	2015-16
Asbl_forgn_source_incm_amt	1.2	2	2015-16
Spouse_adjusted_taxable_inc	0.9	2	2015-16
Net_fincl_invstmt_lss_amt	0.58	2	2015-16
Cr_PAYG_ITI_amt	0.96	2	2015-16
TFN_amts_wheld_gr_intst_amt	1.05	2	2015-16
TFN_amts_wheld_divs_amt	1.23	2	2015-16
Hrs_to_prepare_BPI_cnt	0.33	2	2015-16
Help_debt	1.83	2	2015-16
Grs_int_amt	0.67	3	2016-17
Aust_govt_pnsn_allw_amt	1.07	3	2016-17
Unfranked_Div_amt	0.96	3	2016-17
Frk_Div_amt	0.79	3	2016-17
Dividends_franking_cr_amt	0.81	3	2016-17
Gross_rent_amt	1.21	3	2016-17
Other_rent_ded_amt	1.27	3	2016-17
Rent_int_ded_amt	0.98	3	2016-17
Rent_cap_wks_amt	1.4	3	2016-17
Net_farm_management_amt	2.46	3	2016-17
Total_PP_BI_amt	1.4	3	2016-17
Total_NPP_BI_amt	1.05	3	2016-17
Total_PP_BE_amt	1.2	3	2016-17
Total_NPP_BE_amt	1.15	3	2016-17
Net_CG_amt	1.37	3	2016-17
