fy_year	n_CG	zero_discount_Net_CG_total	cg_inflator	forecast.series
2013-14	609678	10496647949.007572	1	lower
2014-15	348488.5433451189	15507491200.683134	2.5846570778038003	lower
2015-16	272655.16325463506	23154370475.752	4.932523283707184	lower
2016-17	224285.9345994505	22821897463.792484	5.9101649671901235	lower
2017-18	189391.34154442677	26312864089.367397	8.069709383278958	lower
2018-19	162687.73387496106	26859069751.87232	9.589281100711252	lower
2019-20	141511.20076226478	28711419389.932476	11.784569970969512	lower
2020-21	124302.9705618631	16168309484.97152	7.554974427565918	lower
2021-22	110063.86557251182	11013489801.109314	5.812059942794974	lower
2022-23	98113.01022468397	6877453886.875679	4.0714675616742015	lower
2023-24	87965.72375110276	3184140211.0026894	2.102464132061298	lower
2013-14	609678	10496647949.007572	1	mean
2014-15	608907.841511015	15507491200.683134	1.4792441789800863	mean
2015-16	608299.9178558484	23154370475.752	2.2108797020997994	mean
2016-17	607814.0159564846	22821897463.792484	2.180875791778499	mean
2017-18	607425.5739054	26312864089.367397	2.516082877687452	mean
2018-19	607114.9990078587	26859069751.87232	2.569625876998819	mean
2019-20	606866.6534258961	28711419389.932476	2.7479655335230224	mean
2020-21	606668.0501048262	29869493535.43017	2.859740511197546	mean
2021-22	606509.2142447515	31027637967.531284	2.9714005864166695	mean
2022-23	606382.17549856	32185782399.6324	3.0829574904257413	mean
2023-24	606280.5636602438	33343926831.73352	3.1944271699253126	mean
2013-14	609678	10496647949.007572	1	upper
2014-15	1063933.855313056	15507491200.683134	0.8465971597693596	upper
2015-16	1357131.057583747	23154370475.752	0.9909713094112724	upper
2016-17	1647173.634195672	22821897463.792484	0.8047523623400227	upper
2017-18	1948166.2932714052	26312864089.367397	0.7844982696043052	upper
2018-19	2265620.2360259253	26859069751.87232	0.6885789537708095	upper
2019-20	2602529.9273593165	28711419389.932476	0.6407798156430501	upper
2020-21	2960879.545793499	43570677585.88882	0.8547192131466512	upper
2021-22	3342181.6056554746	51041786133.953255	0.8870451206146632	upper
2022-23	3747712.376985636	57494110912.38912	0.8910601096356955	upper
2023-24	4178628.9727147827	63503713452.464355	0.8827042207755467	upper
