fy_year	n_CG	zero_discount_Net_CG_total	cg_inflator	forecast.series
2012-13	526775	9665465419.108784	1	lower
2013-14	609678	10496647949.007572	0.9383232811829544	lower
2013-14	348488.5433451189	10496647949.007572	1.6415892928179217	lower
2015-16	224285.9345994505	23154370475.752	5.626435223452368	lower
2016-17	189391.34154442677	22821897463.792484	6.567408244972429	lower
2017-18	162687.73387496106	26312864089.367397	8.814865643606034	lower
2018-19	141511.20076226478	26859069751.87232	10.344334016523117	lower
2019-20	124302.9705618631	28711419389.932476	12.588545095064994	lower
2019-20	124302.9705618631	18780542101.64347	8.234343901479317	lower
2020-21	110063.86557251182	14667837138.90361	7.263128067695828	lower
2021-22	98113.01022468397	11511950866.143162	6.3947667942101205	lower
2022-23	87965.72375110276	8851383027.932652	5.484032736693214	lower
2023-24	79265.52157763128	6507360058.653713	4.474277335338715	lower
2012-13	526775	9665465419.108784	1	mean
2013-14	609678	10496647949.007572	0.9383232811829544	mean
2013-14	608907.841511015	10496647949.007572	0.9395100907313781	mean
2015-16	607814.0159564846	23154370475.752	2.0761783200564232	mean
2016-17	607425.5739054	22821897463.792484	2.0476751579428365	mean
2017-18	607114.9990078587	26312864089.367397	2.362106879774111	mean
2018-19	606866.6534258961	26859069751.87232	2.4121264852837654	mean
2019-20	606668.0501048262	28711419389.932476	2.579324146208407	mean
2019-20	606668.0501048262	28711229350.29591	2.5793070737740327	mean
2020-21	606509.2142447515	28711229350.29591	2.579982556434209	mean
2021-22	606382.17549856	28711229350.29591	2.5805230699295074	mean
2022-23	606280.5636602438	28711229350.29591	2.5809555622584224	mean
2023-24	606199.286448967	28711229350.29591	2.5813016083116245	mean
2012-13	526775	9665465419.108784	1	upper
2013-14	609678	10496647949.007572	0.9383232811829544	upper
2013-14	1063933.855313056	10496647949.007572	0.537697957977596	upper
2015-16	1647173.634195672	23154370475.752	0.7661185538411638	upper
2016-17	1948166.2932714052	22821897463.792484	0.6384517904252534	upper
2017-18	2265620.2360259253	26312864089.367397	0.6329703862841494	upper
2018-19	2602529.9273593165	26859069751.87232	0.5624677404764474	upper
2019-20	2960879.545793499	28711419389.932476	0.5284894323349429	upper
2019-20	2960879.545793499	38641916598.94835	0.7112795187991733	upper
2020-21	3342181.6056554746	42754621561.68821	0.6971968342218045	upper
2021-22	3747712.376985636	45910507834.448654	0.6676490388208193	upper
2022-23	4178628.9727147827	48571075672.659164	0.6334995269174095	upper
2023-24	4636033.013815919	50915098641.93811	0.5985527823460276	upper
