label,propNG,nIndividuals,nIndividualsPercentile,text
Hospitality Workers,0.00208507089241034,2398,14,
Labourer,0.00231864855912554,3019,18,
Sales assistant,0.00271767174653411,87207,93,
"Farm, Forestry",0.00286396181384248,4190,25,
Factory Process Workers,0.00488997555012225,4908,29,
Apprentice or trainee - floor finisher,0.0051933064050779,1733,9,
Apprentice or trainee - hair dresser,0.00651139494114701,3993,24,
Fast Food Cooks,0.00688433160982978,34426,80,
Cleaners,0.00747663551401869,2675,16,
Apprentice or trainee - tiler or plasterer,0.00761808024377857,1969,11,
Road,0.00995732574679943,703,3,
Apprentice or trainee - food trades worker,0.0107139470939604,10547,50,
Apprentice or trainee - metal fabrication engineering trades worker,0.0115511551155116,3636,22,
School Teacher,0.0115540150202195,1731,9,
Personal Carers,0.0118093631379165,2371,13,
Apprentice or trainee - business services,0.0131180625630676,991,5,
Apprentice or trainee - automotive - other,0.0140901771336554,2484,14,
Waiters,0.0145100492172968,121502,96,Waiters 
Apprentice or trainee - automotive mechanic or electrician,0.0146020694323566,10341,48,
Apprentice or trainee - horticultural trades worker,0.0146149522203485,1779,9,
Bar Attendants,0.014674350741039,95609,94,
Crop Farm Workers,0.0148672408804612,44931,86,
Apprentice or trainee - sport,0.015180265654649,527,1,
Aquaculture Workers,0.0151860288534548,2634,16,
"Apprentice or trainee - bricklayer, or carpenter",0.0176673078870102,19754,70,
Vending Machine Attendants,0.018640350877193,912,4,
Miscellaneous type not specified,0.0189439182244938,36001,82,
Apprentice or trainee - wood trades worker,0.0193321616871705,569,1,
Kitchenhands,0.0197497150966521,93014,93,
Apprentice or trainee - plumber,0.0201555146306528,9774,46,
Car Detailers,0.0202641849294506,13324,57,
Checkout Operators,0.0203025477707006,140672,97,Checkout Operators 
Construction,0.0205831903945112,583,1,
Apprentice or trainee - mechanical trades engineering trades worker,0.0215128383067314,4323,26,
Apprentice or trainee - miscellaneous technicians or trades worker,0.021875,640,2,
Cafe Workers,0.0222015034088923,34322,80,
Telemarketers,0.0234301780693533,7469,38,
Housekeepers,0.0248260236284188,30895,78,
"Apprentice or trainee - animal attendant, trainer or shearer",0.0255102040816327,588,1,
Apprentice or trainee - electronics or telecommunications trades worker,0.0264079762867152,3711,23,
"Meat, Poultry",0.0265145323176513,30587,78,
General Clerical Workers,0.0267379679144385,748,3,
Shelf Fillers,0.0269432918395574,18075,67,
Apprentice or trainee - cleaning services,0.0270812437311936,997,5,
Meat Boners,0.0273983739837398,12300,56,
Indigenous Health Workers,0.0285932138772398,2623,15,
Food Trades Assistants,0.0302060412082417,9998,47,
Packers,0.0303158428819077,47302,88,
Machine,0.031201248049922,641,2,
