Occupation,avgTaxableIncome,avgRentLosses,avgTax,avgTaxNoNG,avgBenefit,nIndividuals,label,keep_label,color,fontface
"1100 Chief Executives, General Managers and Legislators - type not specified",80418.7602094241,-11139.0277777778,19310.3164816754,23654.5373150087,4344.22083333334,1917,,FALSE,black,plain
CEOs,158867.432326662,-13311.404621896,49905.2986073983,55096.7464099377,5191.44780253942,166741,CEOs,TRUE,black,plain
1112 General Managers,111612.46057112,-11052.9245057342,31475.8596227368,35786.5001799731,4310.64055723634,226199,General Managers,TRUE,black,plain
1113 Legislators,89199.1228070176,-9674.64134275618,22734.6578947368,26507.7680184118,3773.11012367491,4069,,FALSE,black,plain
1210 Farmers and farm managers - type not specified,26014.7962382445,-21875.5,1507.79090909091,7787.50664576802,6279.71573667712,319,Farmers,TRUE,black,plain
1211 Aquaculture Farmers,49232.3344370861,-6261.96116504854,8270.640397351,10524.9464167685,2254.30601941748,1816,,FALSE,black,plain
1212 Crop Farmers,54508.4839633448,-7072.2464516129,10170.0542268041,12716.0629493848,2546.00872258065,10531,,FALSE,black,plain
1213 Livestock Farmers,52112.2725527831,-5442.65563598759,9307.41811900192,11266.7741479575,1959.35602895553,11558,,FALSE,black,plain
1214 Mixed Crop and Livestock Farmers,59907.5661245781,-6190.82026143791,12113.7238048481,14342.4190989658,2228.69529411765,3301,,FALSE,black,plain
1311 Advertising and Sales Managers,98388.5038180083,-10223.6748685064,26318.5164890232,30305.7496877407,3987.23319871749,169868,Advertising,TRUE,black,plain
1321 Corporate Services Managers,114295.342076503,-10961.7039274924,32522.1834098361,36797.2479415581,4275.06453172205,10071,,FALSE,black,plain
1322 Finance Managers,122893.261883327,-11913.82452851,35875.3721344977,40521.7637006166,4646.3915661189,44499,,FALSE,black,plain
1323 Human Resource Managers,116631.057897347,-9771.92242934456,33433.1125799653,37244.1623274097,3811.04974744438,24214,,FALSE,black,plain
1324 Policy and Planning Managers,111978.306250789,-10479.6554772582,31618.5394378078,35705.6050739385,4087.06563613068,39604,,FALSE,black,plain
1325 Research and Development Managers,94221.3925912308,-9157.78919860627,24693.34311058,28264.8808980365,3571.53778745645,10897,,FALSE,black,plain
1331 Construction Managers,101500.394372725,-10442.2215354901,27532.1538053629,31604.620204204,4072.46639884114,58335,,FALSE,black,plain
1332 Engineering Managers,148957.377805731,-13052.7884680996,46040.3773442352,51130.9648467941,5090.58750255885,25457,Engineering Managers,TRUE,black,plain
"1333 Importers, Exporters and Wholesalers",108704.459945096,-9555.06438631791,30341.7393785875,34068.2144892515,3726.47511066398,4013,,FALSE,black,plain
1334 Manufacturers,73107.4816875759,-9197.90610328639,16769.0811822137,20046.1012384363,3277.02005622261,19775,,FALSE,black,plain
1335 Production Managers,125748.886426593,-11858.0667330677,36989.0657063712,41613.7117322676,4624.64602589641,16259,,FALSE,black,plain
1336 Supply and Distribution Managers,97666.1782388601,-10307.8624912526,26036.8095131554,30056.875884744,4020.06637158852,16011,,FALSE,black,plain
1341 Child Care Centre Managers,61580.1640718563,-6730.56918238994,12715.8590658683,15114.2029727149,2398.34390684668,8354,,FALSE,black,plain
1342 Health and Welfare Services Managers,65152.2654966716,-8053.60093997009,14001.8155788018,16803.0239206414,2801.20834183961,34744,,FALSE,black,plain
1343 School Principals,115065.572396057,-9914.91335044929,32822.5732344621,36689.3894411373,3866.81620667523,11674,,FALSE,black,plain
1344 Other Education Managers,66509.9107224509,-7410.60086206897,14490.5678600823,17049.5764966593,2559.00863657703,8762,,FALSE,black,plain
