Taxable_Income_percentile,T201718,variable,value,delta
1,0.003,Baseline_2027-28,0.005,0.002
2,0.01,Baseline_2027-28,0.016,0.006
3,0.018,Baseline_2027-28,0.025,0.007
4,0.025,Baseline_2027-28,0.033,0.008
5,0.033,Baseline_2027-28,0.041,0.008
6,0.04,Baseline_2027-28,0.052,0.012
7,0.048,Baseline_2027-28,0.061,0.013
8,0.055,Baseline_2027-28,0.069,0.014
9,0.062,Baseline_2027-28,0.076,0.014
10,0.067,Baseline_2027-28,0.083,0.016
11,0.071,Baseline_2027-28,0.082,0.011
12,0.075,Baseline_2027-28,0.082,0.00700000000000001
13,0.079,Baseline_2027-28,0.084,0.005
14,0.082,Baseline_2027-28,0.088,0.00599999999999999
15,0.085,Baseline_2027-28,0.092,0.00699999999999999
16,0.083,Baseline_2027-28,0.096,0.013
17,0.082,Baseline_2027-28,0.103,0.021
18,0.085,Baseline_2027-28,0.11,0.025
19,0.087,Baseline_2027-28,0.116,0.029
20,0.089,Baseline_2027-28,0.123,0.034
21,0.093,Baseline_2027-28,0.13,0.037
22,0.095,Baseline_2027-28,0.135,0.04
23,0.099,Baseline_2027-28,0.141,0.042
24,0.104,Baseline_2027-28,0.147,0.043
25,0.108,Baseline_2027-28,0.152,0.044
26,0.114,Baseline_2027-28,0.157,0.043
27,0.118,Baseline_2027-28,0.161,0.043
28,0.122,Baseline_2027-28,0.166,0.044
29,0.127,Baseline_2027-28,0.17,0.043
30,0.131,Baseline_2027-28,0.174,0.043
31,0.135,Baseline_2027-28,0.177,0.042
32,0.139,Baseline_2027-28,0.18,0.041
33,0.142,Baseline_2027-28,0.184,0.042
34,0.146,Baseline_2027-28,0.187,0.041
35,0.149,Baseline_2027-28,0.19,0.041
36,0.153,Baseline_2027-28,0.193,0.04
37,0.156,Baseline_2027-28,0.196,0.04
38,0.159,Baseline_2027-28,0.198,0.039
39,0.162,Baseline_2027-28,0.201,0.039
40,0.166,Baseline_2027-28,0.204,0.038
41,0.169,Baseline_2027-28,0.206,0.037
42,0.172,Baseline_2027-28,0.209,0.037
43,0.174,Baseline_2027-28,0.211,0.037
44,0.177,Baseline_2027-28,0.214,0.037
45,0.18,Baseline_2027-28,0.216,0.036
46,0.183,Baseline_2027-28,0.219,0.036
47,0.185,Baseline_2027-28,0.221,0.036
48,0.188,Baseline_2027-28,0.223,0.035
49,0.191,Baseline_2027-28,0.225,0.034
50,0.193,Baseline_2027-28,0.227,0.034
51,0.196,Baseline_2027-28,0.229,0.033
52,0.199,Baseline_2027-28,0.231,0.032
53,0.201,Baseline_2027-28,0.233,0.032
54,0.204,Baseline_2027-28,0.235,0.031
55,0.206,Baseline_2027-28,0.237,0.031
56,0.209,Baseline_2027-28,0.239,0.03
57,0.211,Baseline_2027-28,0.241,0.03
58,0.213,Baseline_2027-28,0.243,0.03
59,0.216,Baseline_2027-28,0.245,0.029
60,0.218,Baseline_2027-28,0.246,0.028
61,0.22,Baseline_2027-28,0.249,0.029
62,0.222,Baseline_2027-28,0.251,0.029
63,0.224,Baseline_2027-28,0.254,0.03
64,0.226,Baseline_2027-28,0.256,0.03
65,0.228,Baseline_2027-28,0.259,0.031
66,0.23,Baseline_2027-28,0.261,0.031
67,0.232,Baseline_2027-28,0.264,0.032
68,0.234,Baseline_2027-28,0.266,0.032
69,0.236,Baseline_2027-28,0.268,0.032
70,0.238,Baseline_2027-28,0.271,0.033
71,0.24,Baseline_2027-28,0.273,0.033
72,0.242,Baseline_2027-28,0.275,0.033
73,0.244,Baseline_2027-28,0.278,0.034
74,0.246,Baseline_2027-28,0.28,0.034
75,0.247,Baseline_2027-28,0.282,0.035
76,0.25,Baseline_2027-28,0.285,0.035
77,0.253,Baseline_2027-28,0.287,0.034
78,0.256,Baseline_2027-28,0.289,0.033
79,0.258,Baseline_2027-28,0.292,0.034
80,0.261,Baseline_2027-28,0.294,0.033
81,0.264,Baseline_2027-28,0.296,0.032
82,0.267,Baseline_2027-28,0.299,0.032
83,0.27,Baseline_2027-28,0.301,0.031
84,0.273,Baseline_2027-28,0.304,0.031
85,0.276,Baseline_2027-28,0.306,0.03
86,0.28,Baseline_2027-28,0.309,0.029
87,0.283,Baseline_2027-28,0.311,0.028
88,0.287,Baseline_2027-28,0.314,0.027
89,0.29,Baseline_2027-28,0.317,0.027
90,0.294,Baseline_2027-28,0.32,0.026
91,0.298,Baseline_2027-28,0.324,0.026
92,0.303,Baseline_2027-28,0.331,0.028
93,0.307,Baseline_2027-28,0.339,0.032
94,0.312,Baseline_2027-28,0.347,0.035
95,0.317,Baseline_2027-28,0.355,0.038
96,0.325,Baseline_2027-28,0.364,0.039
97,0.338,Baseline_2027-28,0.373,0.035
98,0.356,Baseline_2027-28,0.384,0.028
99,0.382,Baseline_2027-28,0.403,0.021
100,0.417,Baseline_2027-28,0.43,0.013
1,0.003,Budget 2018_2027-28,0.005,0.002
2,0.01,Budget 2018_2027-28,0.014,0.004
3,0.018,Budget 2018_2027-28,0.022,0.004
4,0.025,Budget 2018_2027-28,0.033,0.008
5,0.033,Budget 2018_2027-28,0.043,0.01
6,0.04,Budget 2018_2027-28,0.052,0.012
7,0.048,Budget 2018_2027-28,0.06,0.012
8,0.055,Budget 2018_2027-28,0.067,0.012
9,0.062,Budget 2018_2027-28,0.074,0.012
10,0.067,Budget 2018_2027-28,0.079,0.012
11,0.071,Budget 2018_2027-28,0.074,0.003
12,0.075,Budget 2018_2027-28,0.075,0
13,0.079,Budget 2018_2027-28,0.08,0.001
14,0.082,Budget 2018_2027-28,0.083,0.001
15,0.085,Budget 2018_2027-28,0.088,0.00299999999999999
16,0.083,Budget 2018_2027-28,0.092,0.009
17,0.082,Budget 2018_2027-28,0.096,0.014
18,0.085,Budget 2018_2027-28,0.1,0.015
19,0.087,Budget 2018_2027-28,0.105,0.018
20,0.089,Budget 2018_2027-28,0.111,0.022
21,0.093,Budget 2018_2027-28,0.117,0.024
22,0.095,Budget 2018_2027-28,0.122,0.027
23,0.099,Budget 2018_2027-28,0.127,0.028
24,0.104,Budget 2018_2027-28,0.132,0.028
25,0.108,Budget 2018_2027-28,0.136,0.028
26,0.114,Budget 2018_2027-28,0.141,0.027
27,0.118,Budget 2018_2027-28,0.146,0.028
28,0.122,Budget 2018_2027-28,0.15,0.028
29,0.127,Budget 2018_2027-28,0.154,0.027
30,0.131,Budget 2018_2027-28,0.158,0.027
31,0.135,Budget 2018_2027-28,0.161,0.026
32,0.139,Budget 2018_2027-28,0.165,0.026
33,0.142,Budget 2018_2027-28,0.168,0.026
34,0.146,Budget 2018_2027-28,0.171,0.025
35,0.149,Budget 2018_2027-28,0.175,0.026
36,0.153,Budget 2018_2027-28,0.178,0.025
37,0.156,Budget 2018_2027-28,0.181,0.025
38,0.159,Budget 2018_2027-28,0.184,0.025
39,0.162,Budget 2018_2027-28,0.187,0.025
40,0.166,Budget 2018_2027-28,0.189,0.023
41,0.169,Budget 2018_2027-28,0.192,0.023
42,0.172,Budget 2018_2027-28,0.195,0.023
43,0.174,Budget 2018_2027-28,0.198,0.024
44,0.177,Budget 2018_2027-28,0.2,0.023
45,0.18,Budget 2018_2027-28,0.203,0.023
46,0.183,Budget 2018_2027-28,0.205,0.022
47,0.185,Budget 2018_2027-28,0.207,0.022
48,0.188,Budget 2018_2027-28,0.21,0.022
49,0.191,Budget 2018_2027-28,0.212,0.021
50,0.193,Budget 2018_2027-28,0.214,0.021
51,0.196,Budget 2018_2027-28,0.217,0.021
52,0.199,Budget 2018_2027-28,0.219,0.02
53,0.201,Budget 2018_2027-28,0.221,0.02
54,0.204,Budget 2018_2027-28,0.223,0.019
55,0.206,Budget 2018_2027-28,0.225,0.019
56,0.209,Budget 2018_2027-28,0.227,0.018
57,0.211,Budget 2018_2027-28,0.229,0.018
58,0.213,Budget 2018_2027-28,0.231,0.018
59,0.216,Budget 2018_2027-28,0.234,0.018
60,0.218,Budget 2018_2027-28,0.236,0.018
61,0.22,Budget 2018_2027-28,0.237,0.017
62,0.222,Budget 2018_2027-28,0.24,0.018
63,0.224,Budget 2018_2027-28,0.242,0.018
64,0.226,Budget 2018_2027-28,0.244,0.018
65,0.228,Budget 2018_2027-28,0.246,0.018
66,0.23,Budget 2018_2027-28,0.248,0.018
67,0.232,Budget 2018_2027-28,0.25,0.018
68,0.234,Budget 2018_2027-28,0.252,0.018
69,0.236,Budget 2018_2027-28,0.254,0.018
70,0.238,Budget 2018_2027-28,0.256,0.018
71,0.24,Budget 2018_2027-28,0.258,0.018
72,0.242,Budget 2018_2027-28,0.26,0.018
73,0.244,Budget 2018_2027-28,0.262,0.018
74,0.246,Budget 2018_2027-28,0.264,0.018
75,0.247,Budget 2018_2027-28,0.266,0.019
76,0.25,Budget 2018_2027-28,0.268,0.018
77,0.253,Budget 2018_2027-28,0.27,0.017
78,0.256,Budget 2018_2027-28,0.272,0.016
79,0.258,Budget 2018_2027-28,0.274,0.016
80,0.261,Budget 2018_2027-28,0.276,0.015
81,0.264,Budget 2018_2027-28,0.278,0.014
82,0.267,Budget 2018_2027-28,0.279,0.012
83,0.27,Budget 2018_2027-28,0.281,0.011
84,0.273,Budget 2018_2027-28,0.283,0.00999999999999995
85,0.276,Budget 2018_2027-28,0.284,0.00799999999999995
86,0.28,Budget 2018_2027-28,0.286,0.00599999999999995
87,0.283,Budget 2018_2027-28,0.288,0.005
88,0.287,Budget 2018_2027-28,0.29,0.003
89,0.29,Budget 2018_2027-28,0.292,0.002
90,0.294,Budget 2018_2027-28,0.294,0
91,0.298,Budget 2018_2027-28,0.296,-0.002
92,0.303,Budget 2018_2027-28,0.299,-0.004
93,0.307,Budget 2018_2027-28,0.305,-0.002
94,0.312,Budget 2018_2027-28,0.315,0.003
95,0.317,Budget 2018_2027-28,0.325,0.00800000000000001
96,0.325,Budget 2018_2027-28,0.336,0.011
97,0.338,Budget 2018_2027-28,0.348,0.00999999999999995
98,0.356,Budget 2018_2027-28,0.361,0.005
99,0.382,Budget 2018_2027-28,0.386,0.004
100,0.417,Budget 2018_2027-28,0.42,0.003
