"","2018-19","2019-20","2020-21","2021-22","2022-23","2023-24","2024-25","2025-26","2026-27","2027-28"
"Budget2018_baseline",-0.04,-0.08,-0.12,-0.17,-0.22,-0.26,-0.31,-0.36,-0.41,-0.46
"Budget2018_baseline_no_SBTO",0.15,0.11,0.07,0.03,-0.02,-0.06,-0.1,-0.15,-0.19,-0.24
"Budget2018_just_rates",-0.41,-0.48,-0.54,-0.61,-5.7,-5.91,-15.4,-16.16,-16.96,-17.76
"Budget2018_just_LITO",-0.04,-0.08,-0.12,-0.17,-0.75,-0.8,-0.84,-0.89,-0.94,-0.99
"Budget2018_just_LITO_and_rates",-0.41,-0.48,-0.54,-0.61,-6.23,-6.44,-15.93,-16.7,-17.49,-18.29
"Budget2018_just_lamington",-3.73,-3.85,-3.98,-4.09,-4.21,-4.32,-4.44,-4.55,-4.66,-4.77
"Budget2018_lamington_plus_LITO",-3.73,-3.85,-3.98,-4.09,-4.71,-4.82,-4.94,-5.05,-5.16,-5.27
"Budget2018_lamington_plus_bracket1",-3.73,-3.85,-3.98,-4.09,-4.71,-4.82,-4.94,-5.05,-5.16,-5.27
"Budget2018_no_SBTO",-3.93,-4.07,-4.21,-4.35,-10,-10.28,-19.83,-20.66,-21.51,-22.37
"Budget2018",-4.11,-4.25,-4.4,-4.54,-10.19,-10.47,-20.02,-20.85,-21.71,-22.57
"ALP2018_no_SBTO",-6.68,-6.88,-7.08,-7.27,-7.46,-7.65,-7.83,-8.02,-8.2,-8.37
"ALP2018",-6.86,-7.06,-7.26,-7.46,-7.65,-7.84,-8.03,-8.21,-8.4,-8.57
