"","2018-19","2019-20","2020-21","2021-22","2022-23","2023-24","2024-25","2025-26","2026-27","2027-28"
"Budget2018_baseline",-0.04,-0.08,-0.12,-0.17,-0.21,-0.25,-0.28,-0.32,-0.35,-0.38
"Budget2018_just_rates",-0.42,-0.5,-0.58,-0.65,-5.92,-6.15,-17.45,-18.6,-19.83,-21.1
"Budget2018_just_LITO",-0.04,-0.08,-0.12,-0.17,-0.72,-0.75,-0.77,-0.8,-0.82,-0.84
"Budget2018_just_LITO_and_rates",-0.42,-0.5,-0.58,-0.65,-6.43,-6.64,-17.93,-19.08,-20.29,-21.56
"Budget2018_just_lamington",-3.83,-3.94,-4.04,-4.12,-4.2,-4.27,-4.33,-4.38,-4.43,-4.46
"Budget2018_lamington_plus_LITO",-3.83,-3.94,-4.04,-4.12,-4.68,-4.74,-4.79,-4.83,-4.87,-4.9
"Budget2018_lamington_plus_bracket1",-3.83,-3.94,-4.04,-4.12,-4.68,-4.74,-4.79,-4.83,-4.87,-4.9
"Budget2018",-4.22,-4.35,-4.49,-4.6,-10.39,-10.63,-21.95,-23.12,-24.34,-25.62
