Taxable_Income_percentile,total_delta,prop
1,0,0
2,-2749395,0.00654025876521155
3,-13539500,0.0322077524515691
4,-22569564,0.0536884619263522
5,-28873674,0.0686846740691537
6,-28821183,0.068559808517698
7,-29564725,0.0703285456699816
8,-43778862,0.104141124111482
9,-76281381,0.181458091946662
10,-174201872,0.414391282541891
