"","2018-19","2019-20","2020-21","2021-22","2022-23","2023-24","2024-25","2025-26","2026-27"
"s1920_Budget_baseline",0,0,0,0,0,0,0,0,0
"s1920_Budget_just_rates",-0.37,-0.39,-0.41,-0.44,-8.89,-9.25,-15.07,-15.79,-16.52
"s1920_Budget_no_lamington",-0.37,-0.39,-0.41,-0.44,-6.73,-7.09,-12.91,-13.62,-14.35
"s1920_Budget_just_LITO",-0.37,-0.39,-0.41,-0.44,1.68,1.67,1.65,1.63,1.6
"s1920_Budget_just_LITO_and_rates",-0.37,-0.39,-0.41,-0.44,-6.73,-7.09,-12.91,-13.62,-14.35
"s1920_Budget_just_lamington",-3.64,-3.71,-3.79,-3.86,-3.99,-4.06,-4.12,-4.19,-4.25
"s1920_Budget",-4,-4.1,-4.2,-4.29,-10.8,-11.22,-17.1,-17.87,-18.66
