fy_year,Quintile,avg_delta,max_income,min_income,avg_income,Financial year ending
2018-19,1,0,19550,0,9086.11291189942,2019
2018-19,2,-170.82,37038,19551,27960.2789274588,2019
2018-19,3,-431.38,56511,37038,46353.9216177125,2019
2018-19,4,-530.01,87928,56511,70569.6861185284,2019
2018-19,5,-309.24,4129364,87929,159236.123219849,2019
2019-20,1,0,20021,0,9310.40936822,2020
2019-20,2,-191.58,38027,20022,28687.3204457796,2020
2019-20,3,-452.33,58069,38027,47609.104379914,2020
2019-20,4,-536.1,90607,58069,72625.8000667557,2020
2019-20,5,-286.52,4225923,90607,164226.68652648,2020
2020-21,1,0,20549,0,9576.11202180726,2021
2020-21,2,-214.51,39139,20549,29519.5493991989,2021
2020-21,3,-472.29,59837,39139,49032.8819166296,2021
2020-21,4,-542.85,93646,59838,74955.1045282599,2021
2020-21,5,-259.88,4335558,93647,169968.49942516,2021
2021-22,1,-1.17,21066,0,9814.60413151112,2022
2021-22,2,-236.79,40250,21066,30344.409972556,2022
2021-22,3,-488.72,61619,40250,50460.5559449637,2022
2021-22,4,-546.87,96693,61620,77298.7662253375,2022
2021-22,5,-235.81,4437349,96693,175606.200730604,2022
2022-23,1,-4.63,21626,0,10076.0120162442,2023
2022-23,2,-475.17,41432,21626,31221.4967549325,2023
2022-23,3,-1041.13,63490,41432,51963.9145898235,2023
2022-23,4,-1087.81,99908,63491,79761.8124907284,2023
2022-23,5,-753.49,4540563,99908,181518.769971073,2023
2023-24,1,-10.45,22175,0,10321.3172065941,2024
2023-24,2,-517.94,42629,22175,32106.3301253523,2024
2023-24,3,-1051.87,65423,42629,53494.6634215992,2024
2023-24,4,-1085.57,103180,65423,82272.8250815903,2024
2023-24,5,-733.83,4645245,103181,187546.41130767,2024
2024-25,1,-19.29,22762,0,10576.4150240139,2025
2024-25,2,-558.04,43888,22763,33033.0652165851,2025
2024-25,3,-1059.9,67417,43888,55095.2592530782,2025
2024-25,4,-1203.78,106622,67417,84891.1070501409,2025
2024-25,5,-4090.28,4751444,106625,193813.844718884,2025
2025-26,1,-29.48,23323,0,10821.2228753686,2026
2025-26,2,-595.26,45178,23324,33974.3096906987,2026
2025-26,3,-1065.54,69458,45178,56727.2446966326,2026
2025-26,4,-1248.56,110131,69459,87569.480529595,2026
2025-26,5,-4270.91,4859211,110131,200231.311359591,2026
2026-27,1,-39.99,23908,0,11074.8731062362,2027
2026-27,2,-632.96,46506,23908,34955.7352581219,2027
2026-27,3,-1068.92,71573,46507,58424.2739207833,2027
2026-27,4,-1300.82,113754,71573,90353.9930648272,2027
2026-27,5,-4456.58,4968598,113755,206890.368324433,2027
2027-28,1,-50.98,24499,0,11320.1404676693,2028
2027-28,2,-669.55,47852,24500,35956.0620642338,2028
2027-28,3,-1069.85,73737,47853,60165.1820575582,2028
2027-28,4,-1360.01,117505,73737,93211.318721258,2028
2027-28,5,-4644.81,5079659,117506,213722.196335855,2028
