Taxable_Income_percentile,total_delta,prop
1,0,0
2,0,0
3,-3884158.74949695,0.0125764906460013
4,-12262905.4856669,0.0397059765266448
5,-21733156.4508607,0.0703696363717709
6,-30705765.3802642,0.0994219845245041
7,-41670626.4776232,0.134925032138997
8,-56177411.2673428,0.18189644988424
9,-71023296.6364328,0.22996583904094
10,-71385492.6093808,0.231138590866902
