facet,Decile,total_tax_bn,% tax paid
2017-18,1,0,0
2017-18,2,0,0
2017-18,3,0.788,0.382
2017-18,4,3.38,1.64
2017-18,5,7.02,3.4
2017-18,6,11.9,5.76
2017-18,7,17.6,8.54
2017-18,8,25,12.1
2017-18,9,36.8,17.8
2017-18,10,104,50.4
Baseline,1,0,0
Baseline,2,0.159,0.0419
Baseline,3,3.19,0.841
Baseline,4,8.83,2.33
Baseline,5,16.3,4.29
Baseline,6,23.7,6.25
Baseline,7,32.9,8.67
Baseline,8,46.3,12.2
Baseline,9,67.8,17.9
Baseline,10,180,47.5
Budget 2018,1,0,0
Budget 2018,2,0.034,0.0096
Budget 2018,3,2.61,0.737
Budget 2018,4,7.54,2.13
Budget 2018,5,14.5,4.1
Budget 2018,6,22,6.2
Budget 2018,7,31.1,8.78
Budget 2018,8,43.6,12.3
Budget 2018,9,63.2,17.8
Budget 2018,10,169,47.9
