col	row	variable	value	raw_name	start_date	end_date	sheet_name	k
2	8	numeric	59.3	peCpi	1991-09-01T00:00:00Z	1991-12-01T00:00:00Z	CPI	2
4	8	numeric	59.3	LagCpi	1991-09-01T00:00:00Z	1991-12-01T00:00:00Z	CPI	2
6	8	numeric	106.6	peCpiFpSs	1991-09-01T00:00:00Z	1991-12-01T00:00:00Z	CPI	2
2	9	numeric	59.9	peCpi	1991-12-01T00:00:00Z	1992-03-01T00:00:00Z	CPI	2
3	9	numeric	0.0101180438448567	peCpiG	1991-12-01T00:00:00Z	1992-03-01T00:00:00Z	CPI	2
4	9	numeric	59.9	LagCpi	1991-12-01T00:00:00Z	1992-03-01T00:00:00Z	CPI	2
5	9	numeric	0.0101180438448567	peCpiFpG	1991-12-01T00:00:00Z	1992-03-01T00:00:00Z	CPI	2
6	9	numeric	107.6	peCpiFpSs	1991-12-01T00:00:00Z	1992-03-01T00:00:00Z	CPI	2
7	9	numeric	0.00938086303939967	peCpiFpSsG	1991-12-01T00:00:00Z	1992-03-01T00:00:00Z	CPI	2
2	10	numeric	59.9	peCpi	1992-03-01T00:00:00Z	1992-06-01T00:00:00Z	CPI	2
3	10	numeric	0	peCpiG	1992-03-01T00:00:00Z	1992-06-01T00:00:00Z	CPI	2
4	10	numeric	59.9	LagCpi	1992-03-01T00:00:00Z	1992-06-01T00:00:00Z	CPI	2
5	10	numeric	0	peCpiFpG	1992-03-01T00:00:00Z	1992-06-01T00:00:00Z	CPI	2
6	10	numeric	107.6	peCpiFpSs	1992-03-01T00:00:00Z	1992-06-01T00:00:00Z	CPI	2
7	10	numeric	0	peCpiFpSsG	1992-03-01T00:00:00Z	1992-06-01T00:00:00Z	CPI	2
2	11	numeric	59.7	peCpi	1992-06-01T00:00:00Z	1992-09-01T00:00:00Z	CPI	2
3	11	numeric	-0.00333889816360589	peCpiG	1992-06-01T00:00:00Z	1992-09-01T00:00:00Z	CPI	2
4	11	numeric	59.7	LagCpi	1992-06-01T00:00:00Z	1992-09-01T00:00:00Z	CPI	2
5	11	numeric	-0.00333889816360589	peCpiFpG	1992-06-01T00:00:00Z	1992-09-01T00:00:00Z	CPI	2
6	11	numeric	107.3	peCpiFpSs	1992-06-01T00:00:00Z	1992-09-01T00:00:00Z	CPI	2
7	11	numeric	-0.00278810408921926	peCpiFpSsG	1992-06-01T00:00:00Z	1992-09-01T00:00:00Z	CPI	2
2	12	numeric	59.8	peCpi	1992-09-01T00:00:00Z	1992-12-01T00:00:00Z	CPI	2
3	12	numeric	0.00167504187604672	peCpiG	1992-09-01T00:00:00Z	1992-12-01T00:00:00Z	CPI	2
4	12	numeric	59.8	LagCpi	1992-09-01T00:00:00Z	1992-12-01T00:00:00Z	CPI	2
5	12	numeric	0.00167504187604672	peCpiFpG	1992-09-01T00:00:00Z	1992-12-01T00:00:00Z	CPI	2
6	12	numeric	107.4	peCpiFpSs	1992-09-01T00:00:00Z	1992-12-01T00:00:00Z	CPI	2
