ASGC_2010	ITEM	SEX_ABS	AGE	TSEST	FREQUENCY	attrs.df	obsTime	obsValue
0	6	3	1599	10	M	P1M	1981-01	6686.80217
0	6	3	1599	10	M	P1M	1981-02	6784.165231
0	6	3	1599	10	M	P1M	1981-03	6841.416432
0	6	3	1599	10	M	P1M	1981-04	6805.834773
0	6	3	1599	10	M	P1M	1981-05	6791.647257
0	6	3	1599	10	M	P1M	1981-06	6767.618114
0	6	3	1599	10	M	P1M	1981-07	6803.557449
0	6	3	1599	10	M	P1M	1981-08	6774.300553
0	6	3	1599	10	M	P1M	1981-09	6896.656417
0	6	3	1599	10	M	P1M	1981-10	6819.314278
0	6	3	1599	10	M	P1M	1981-11	6808.361981
0	6	3	1599	10	M	P1M	1981-12	6944.426418
0	6	3	1599	10	M	P1M	1982-01	6799.360437
0	6	3	1599	10	M	P1M	1982-02	6921.195013
0	6	3	1599	10	M	P1M	1982-03	6961.233349
0	6	3	1599	10	M	P1M	1982-04	6871.593616
0	6	3	1599	10	M	P1M	1982-05	6894.667161
0	6	3	1599	10	M	P1M	1982-06	6865.905794
0	6	3	1599	10	M	P1M	1982-07	6879.28424
0	6	3	1599	10	M	P1M	1982-08	6840.704306
0	6	3	1599	10	M	P1M	1982-09	6952.59329
0	6	3	1599	10	M	P1M	1982-10	6961.692083
0	6	3	1599	10	M	P1M	1982-11	6921.997495
0	6	3	1599	10	M	P1M	1982-12	7047.574525
0	6	3	1599	10	M	P1M	1983-01	6866.634903
0	6	3	1599	10	M	P1M	1983-02	7014.039817
0	6	3	1599	10	M	P1M	1983-03	7044.22698
0	6	3	1599	10	M	P1M	1983-04	6963.74127
0	6	3	1599	10	M	P1M	1983-05	6993.334574
0	6	3	1599	10	M	P1M	1983-06	6959.682815
0	6	3	1599	10	M	P1M	1983-07	6982.201634
0	6	3	1599	10	M	P1M	1983-08	6927.981091
0	6	3	1599	10	M	P1M	1983-09	7079.020999
0	6	3	1599	10	M	P1M	1983-10	6989.298173
0	6	3	1599	10	M	P1M	1983-11	7002.296219
0	6	3	1599	10	M	P1M	1983-12	7146.446162
0	6	3	1599	10	M	P1M	1984-01	6969.250553
0	6	3	1599	10	M	P1M	1984-02	7101.852999
0	6	3	1599	10	M	P1M	1984-03	7203.171909
0	6	3	1599	10	M	P1M	1984-04	7153.223005
0	6	3	1599	10	M	P1M	1984-05	7125.239816
0	6	3	1599	10	M	P1M	1984-06	7131.477707
0	6	3	1599	10	M	P1M	1984-07	7123.646314
0	6	3	1599	10	M	P1M	1984-08	7070.127431
0	6	3	1599	10	M	P1M	1984-09	7200.610405
0	6	3	1599	10	M	P1M	1984-10	7131.542371
0	6	3	1599	10	M	P1M	1984-11	7147.241267
0	6	3	1599	10	M	P1M	1984-12	7263.432422
0	6	3	1599	10	M	P1M	1985-01	7110.095252
0	6	3	1599	10	M	P1M	1985-02	7269.805651
0	6	3	1599	10	M	P1M	1985-03	7330.201183
0	6	3	1599	10	M	P1M	1985-04	7204.125249
0	6	3	1599	10	M	P1M	1985-05	7267.033795
0	6	3	1599	10	M	P1M	1985-06	7266.955968
0	6	3	1599	10	M	P1M	1985-07	7270.292003
0	6	3	1599	10	M	P1M	1985-08	7248.233304
0	6	3	1599	10	M	P1M	1985-09	7403.935264
0	6	3	1599	10	M	P1M	1985-10	7305.837985
0	6	3	1599	10	M	P1M	1985-11	7425.039148
0	6	3	1599	10	M	P1M	1985-12	7501.960531
0	6	3	1599	10	M	P1M	1986-01	7378.460718
0	6	3	1599	10	M	P1M	1986-02	7527.147912
0	6	3	1599	10	M	P1M	1986-03	7604.458959
0	6	3	1599	10	M	P1M	1986-04	7606.539556
0	6	3	1599	10	M	P1M	1986-05	7573.47022
0	6	3	1599	10	M	P1M	1986-06	7571.486698
0	6	3	1599	10	M	P1M	1986-07	7587.573165
0	6	3	1599	10	M	P1M	1986-08	7516.154117
0	6	3	1599	10	M	P1M	1986-09	7673.675329
0	6	3	1599	10	M	P1M	1986-10	7621.380373
0	6	3	1599	10	M	P1M	1986-11	7618.367494
0	6	3	1599	10	M	P1M	1986-12	7772.624625
0	6	3	1599	10	M	P1M	1987-01	7573.233248
0	6	3	1599	10	M	P1M	1987-02	7721.907837
0	6	3	1599	10	M	P1M	1987-03	7836.239174
0	6	3	1599	10	M	P1M	1987-04	7761.621725
0	6	3	1599	10	M	P1M	1987-05	7738.657313
0	6	3	1599	10	M	P1M	1987-06	7732.013596
0	6	3	1599	10	M	P1M	1987-07	7785.717694
0	6	3	1599	10	M	P1M	1987-08	7694.291264
0	6	3	1599	10	M	P1M	1987-09	7784.136034
0	6	3	1599	10	M	P1M	1987-10	7762.78119
0	6	3	1599	10	M	P1M	1987-11	7749.231018
0	6	3	1599	10	M	P1M	1987-12	7951.324235
0	6	3	1599	10	M	P1M	1988-01	7815.623283
0	6	3	1599	10	M	P1M	1988-02	7892.052938
0	6	3	1599	10	M	P1M	1988-03	8042.649397
0	6	3	1599	10	M	P1M	1988-04	8028.166085
0	6	3	1599	10	M	P1M	1988-05	7947.80104
