val	txt	Txt
0.1	one-tenth	One-tenth
0.2	one-fifth	One-fifth
0.25	one-quarter	One-quarter
0.333333333333333	one-third	One-third
0.5	one-half	One-half
0.666666666666667	two-thirds	Two-thirds
0.75	three-quarters	Three-quarters
