variable	inflator	h
Div_Ded_amt	0.46	5
Dividends_franking_cr_amt	1.05	5
Frk_Div_amt	1	5
Gift_amt	1.09	5
Gross_rent_amt	1.19	5
Grs_int_amt	1	5
Help_debt	1.48	5
Hrs_to_prepare_BPI_cnt	1	5
Intrst_Ded_amt	1	5
Med_Exp_TO_amt	0.84	5
NPP_loss_claimed	1	5
Net_CG_amt	1	5
Net_PT_NPP_dsn	0.98	5
Net_PT_PP_dsn	0.97	5
Net_farm_management_amt	1	5
Net_fincl_invstmt_lss_amt	1	5
Other_foreign_inc_amt	0.98	5
Other_inc_amt	0.99	5
Other_rent_ded_amt	1.2	5
PP_loss_claimed	1.06	5
Rent_cap_wks_amt	1.25	5
Rent_int_ded_amt	1	5
Rep_frng_ben_amt	1.17	5
Spouse_adjusted_taxable_inc	1	5
TFN_amts_wheld_divs_amt	0.89	5
TFN_amts_wheld_gr_intst_amt	1.21	5
Taxed_othr_pnsn_amt	1.04	5
Tot_CY_CG_amt	1	5
Total_NPP_BE_amt	0.75	5
Total_NPP_BI_amt	0.75	5
Total_PP_BE_amt	0.99	5
Total_PP_BI_amt	0.99	5
Unfranked_Div_amt	1.09	5
Untaxed_othr_pnsn_amt	1.16	5
Asbl_forgn_source_incm_amt	0.88	6
Aust_govt_pnsn_allw_amt	1	6
Cr_PAYG_ITI_amt	0.98	6
Div_Ded_amt	0.35	6
Dividends_franking_cr_amt	1.05	6
Frk_Div_amt	1	6
Gift_amt	1.09	6
Gross_rent_amt	1.23	6
Grs_int_amt	1	6
Help_debt	1.58	6
Hrs_to_prepare_BPI_cnt	1	6
Intrst_Ded_amt	1	6
Med_Exp_TO_amt	0.81	6
NPP_loss_claimed	1	6
Net_CG_amt	1	6
Net_PT_NPP_dsn	0.97	6
Net_PT_PP_dsn	0.97	6
Net_farm_management_amt	1	6
Net_fincl_invstmt_lss_amt	1	6
Other_foreign_inc_amt	0.98	6
Other_inc_amt	0.99	6
Other_rent_ded_amt	1.25	6
PP_loss_claimed	1.06	6
Rent_cap_wks_amt	1.3	6
Rent_int_ded_amt	1	6
Rep_frng_ben_amt	1.21	6
Spouse_adjusted_taxable_inc	1	6
TFN_amts_wheld_divs_amt	0.89	6
TFN_amts_wheld_gr_intst_amt	1.21	6
Taxed_othr_pnsn_amt	1.04	6
Tot_CY_CG_amt	1	6
Total_NPP_BE_amt	0.75	6
Total_NPP_BI_amt	0.75	6
Total_PP_BE_amt	0.99	6
Total_PP_BI_amt	0.99	6
Unfranked_Div_amt	1.09	6
Untaxed_othr_pnsn_amt	1.18	6
Asbl_forgn_source_incm_amt	0.88	7
Aust_govt_pnsn_allw_amt	1	7
Cr_PAYG_ITI_amt	0.98	7
Div_Ded_amt	0.24	7
Dividends_franking_cr_amt	1.05	7
Frk_Div_amt	1	7
Gift_amt	1.09	7
Gross_rent_amt	1.27	7
Grs_int_amt	1	7
Help_debt	1.68	7
Hrs_to_prepare_BPI_cnt	1	7
Intrst_Ded_amt	1	7
Med_Exp_TO_amt	0.78	7
NPP_loss_claimed	1	7
Net_CG_amt	1	7
Net_PT_NPP_dsn	0.96	7
Net_PT_PP_dsn	0.97	7
Net_farm_management_amt	1	7
Net_fincl_invstmt_lss_amt	1	7
Other_foreign_inc_amt	0.98	7
Other_inc_amt	0.99	7
Other_rent_ded_amt	1.29	7
PP_loss_claimed	1.06	7
Rent_cap_wks_amt	1.36	7
Rent_int_ded_amt	1	7
Rep_frng_ben_amt	1.24	7
Spouse_adjusted_taxable_inc	1	7
TFN_amts_wheld_divs_amt	0.89	7
TFN_amts_wheld_gr_intst_amt	1.21	7
Taxed_othr_pnsn_amt	1.04	7
Tot_CY_CG_amt	1	7
Total_NPP_BE_amt	0.75	7
Total_NPP_BI_amt	0.75	7
Total_PP_BE_amt	0.99	7
Total_PP_BI_amt	0.99	7
Unfranked_Div_amt	1.09	7
Untaxed_othr_pnsn_amt	1.21	7
Asbl_forgn_source_incm_amt	0.88	8
Aust_govt_pnsn_allw_amt	1	8
Cr_PAYG_ITI_amt	0.98	8
Div_Ded_amt	0.13	8
Dividends_franking_cr_amt	1.05	8
Frk_Div_amt	1	8
Gift_amt	1.09	8
Gross_rent_amt	1.31	8
Grs_int_amt	1	8
Help_debt	1.77	8
Hrs_to_prepare_BPI_cnt	1	8
Intrst_Ded_amt	1	8
Med_Exp_TO_amt	0.74	8
NPP_loss_claimed	1	8
Net_CG_amt	1	8
Net_PT_NPP_dsn	0.95	8
Net_PT_PP_dsn	0.97	8
Net_farm_management_amt	1	8
Net_fincl_invstmt_lss_amt	1	8
Other_foreign_inc_amt	0.98	8
Other_inc_amt	0.99	8
Other_rent_ded_amt	1.33	8
PP_loss_claimed	1.06	8
Rent_cap_wks_amt	1.41	8
