fy_year	max_lito	lito_taper	min_bracket
1997-98			
1998-99			
1999-00			
2000-01	150	0.04	20700
2001-02	150	0.04	20700
2002-03	150	0.04	18575
2003-04	235	0.04	21600
2004-05	235	0.04	21600
2005-06	235	0.04	21600
2006-07	600	0.04	25000
2007-08	750	0.04	30000
2008-09	1200	0.04	30000
2009-10	1350	0.04	30000
2010-11	1500	0.04	30000
2011-12	1500	0.04	30000
2012-13	445	0.015	37000
2013-14	445	0.015	37000
2014-15	445	0.015	37000
2015-16	445	0.015	37000
2016-17	445	0.015	37000
2017-18	445	0.015	37000
2018-19	445	0.015	37000
2019-20	445	0.015	37000
