Adjustment	fy_year	obsValue
none	1948-49	3.9
none	1949-50	4.2
none	1950-51	4.8
none	1951-52	5.9
none	1952-53	6.3
none	1953-54	6.5
none	1954-55	6.5
none	1955-56	6.7
none	1956-57	7.1
none	1957-58	7.2
none	1958-59	7.3
none	1959-60	7.5
none	1960-61	7.8
none	1961-62	7.8
none	1962-63	7.8
none	1963-64	8
none	1964-65	8.2
none	1965-66	8.6
none	1966-67	8.8
none	1967-68	9.1
none	1968-69	9.4
none	1969-70	9.6
none	1970-71	10.1
none	1971-72	10.8
none	1972-73	11.4
none	1973-74	13
none	1974-75	15.3
none	1975-76	17.3
none	1976-77	19.6
none	1977-78	21.3
none	1978-79	23
none	1979-80	25.4
none	1980-81	27.8
none	1981-82	30.8
none	1982-83	34.3
none	1983-84	36.3
none	1984-85	37.9
none	1985-86	41.4
none	1986-87	45.3
none	1987-88	48.4
none	1988-89	51.7
none	1989-90	56.2
none	1990-91	58.9
none	1991-92	59.9
none	1992-93	60.6
none	1993-94	61.5
none	1994-95	63.8
none	1995-96	66.2
none	1996-97	67.1
none	1997-98	67
none	1998-99	67.8
none	1999-00	69.7
none	2000-01	73.9
none	2001-02	76.1
none	2002-03	78.6
none	2003-04	80.2
none	2004-05	82.1
none	2005-06	84.5
none	2006-07	86.6
none	2007-08	90.3
none	2008-09	92.5
none	2009-10	95.2
none	2010-11	98.3
none	2011-12	99.9
none	2012-13	102.4
none	2013-14	105.4
none	2014-15	106.8
none	2015-16	108.2
none	2016-17	110.5
none	2017-18	112.6
seasonal	1986-87	45.3
seasonal	1987-88	48.4
seasonal	1988-89	51.7
seasonal	1989-90	56.1
seasonal	1990-91	58.9
seasonal	1991-92	59.9
seasonal	1992-93	60.6
seasonal	1993-94	61.5
seasonal	1994-95	63.9
seasonal	1995-96	66.3
seasonal	1996-97	67.1
seasonal	1997-98	67
seasonal	1998-99	67.8
seasonal	1999-00	69.7
seasonal	2000-01	73.9
seasonal	2001-02	76.1
seasonal	2002-03	78.7
seasonal	2003-04	80.2
seasonal	2004-05	82.1
seasonal	2005-06	84.6
seasonal	2006-07	86.7
seasonal	2007-08	90.4
seasonal	2008-09	92.5
seasonal	2009-10	95.2
seasonal	2010-11	98.3
seasonal	2011-12	99.9
seasonal	2012-13	102.4
seasonal	2013-14	105.4
seasonal	2014-15	106.8
seasonal	2015-16	108.2
seasonal	2016-17	110.5
seasonal	2017-18	112.7
trimmed.mean	2002-03	77.1506
trimmed.mean	2003-04	79.1392
trimmed.mean	2004-05	81.2776
trimmed.mean	2005-06	83.5442
trimmed.mean	2006-07	85.8134
trimmed.mean	2007-08	89.3838
trimmed.mean	2008-09	93.0239
trimmed.mean	2009-10	95.8724
trimmed.mean	2010-11	98.0218
trimmed.mean	2011-12	100.2226
trimmed.mean	2012-13	102.5519
trimmed.mean	2013-14	105.297
trimmed.mean	2014-15	107.7306
trimmed.mean	2015-16	109.645
trimmed.mean	2016-17	111.5835
trimmed.mean	2017-18	113.7168
