fy_year	MBR	isParentingPayment
1997-98		0
1998-99		0
1999-00		0
2000-01		0
2001-02		0
2002-03		0
2003-04		0
2004-05		0
2005-06		0
2006-07		0
2007-08		0
2008-09		0
2009-10		0
2010-11		0
2011-12		0
2012-13		0
2013-14		0
2014-15		0
2015-16		0
2016-17		0
2017-18		0
2018-19		0
2019-20		0
2020-21		0
2021-22		0
2022-23		0
2023-24		0
2024-25		0
1997-98	354.6	1
1998-99	359.35	1
1999-00	369.25	1
2000-01	394.333333333333	1
2001-02	416.15	1
2002-03	434.85	1
2003-04	458.5	1
2004-05	473.5	1
2005-06	494.3	1
2006-07	518.6	1
2007-08	542.25	1
2008-09	565.95	1
2009-10	587.9	1
2010-11	618.9	1
2011-12	645	1
2012-13	673.6	1
2013-14	706.55	1
2014-15	722.85	1
2015-16	734.15	1
2016-17	743.3	1
2017-18	757.5	1
2018-19	772.3	1
2019-20	785.4	1
2020-21	834.656	1
2021-22	884.48	1
2022-23	904.07	1
2023-24	923.66	1
2024-25	943.25	1
