variable	inflator	h
Asbl_forgn_source_incm_amt	0.95	1
Aust_govt_pnsn_allw_amt	0.99	1
Cr_PAYG_ITI_amt	0.97	1
Div_Ded_amt	0.8	1
Dividends_franking_cr_amt	1.06	1
Frk_Div_amt	1.03	1
Gift_amt	0.79	1
Gross_rent_amt	1.07	1
Grs_int_amt	0.86	1
Help_debt	1.25	1
Hrs_to_prepare_BPI_cnt	0.97	1
Intrst_Ded_amt	0.89	1
Med_Exp_TO_amt	1	1
NPP_loss_claimed	0.95	1
Net_CG_amt	1.28	1
Net_PT_NPP_dsn	1	1
Net_PT_PP_dsn	1.09	1
Net_farm_management_amt	1.62	1
Net_fincl_invstmt_lss_amt	0.77	1
Other_foreign_inc_amt	1.22	1
Other_inc_amt	0.98	1
Other_rent_ded_amt	1.09	1
PP_loss_claimed	0.83	1
Rent_cap_wks_amt	1.1	1
Rent_int_ded_amt	1	1
Rep_frng_ben_amt	1.1	1
Spouse_adjusted_taxable_inc	1	1
TFN_amts_wheld_divs_amt	1.23	1
TFN_amts_wheld_gr_intst_amt	0.99	1
Taxed_othr_pnsn_amt	0.93	1
Tot_CY_CG_amt	1.25	1
Total_NPP_BE_amt	1.16	1
Total_NPP_BI_amt	1.04	1
Total_PP_BE_amt	0.89	1
Total_PP_BI_amt	0.94	1
Unfranked_Div_amt	1	1
Untaxed_othr_pnsn_amt	1.05	1
Asbl_forgn_source_incm_amt	0.95	2
Aust_govt_pnsn_allw_amt	0.99	2
Cr_PAYG_ITI_amt	0.97	2
Div_Ded_amt	0.7	2
Dividends_franking_cr_amt	1.06	2
Frk_Div_amt	1.03	2
Gift_amt	0.79	2
Gross_rent_amt	1.11	2
Grs_int_amt	0.86	2
Help_debt	1.36	2
Hrs_to_prepare_BPI_cnt	0.97	2
Intrst_Ded_amt	0.89	2
Med_Exp_TO_amt	0.96	2
NPP_loss_claimed	0.95	2
Net_CG_amt	1.28	2
Net_PT_NPP_dsn	0.99	2
Net_PT_PP_dsn	1.09	2
Net_farm_management_amt	1.62	2
Net_fincl_invstmt_lss_amt	0.77	2
Other_foreign_inc_amt	1.22	2
Other_inc_amt	0.98	2
Other_rent_ded_amt	1.13	2
PP_loss_claimed	0.83	2
Rent_cap_wks_amt	1.16	2
Rent_int_ded_amt	1	2
Rep_frng_ben_amt	1.13	2
Spouse_adjusted_taxable_inc	1	2
TFN_amts_wheld_divs_amt	1.23	2
TFN_amts_wheld_gr_intst_amt	0.99	2
Taxed_othr_pnsn_amt	0.93	2
Tot_CY_CG_amt	1.25	2
Total_NPP_BE_amt	1.16	2
Total_NPP_BI_amt	1.04	2
Total_PP_BE_amt	0.89	2
Total_PP_BI_amt	0.94	2
Unfranked_Div_amt	1	2
Untaxed_othr_pnsn_amt	1.07	2
Asbl_forgn_source_incm_amt	0.95	3
Aust_govt_pnsn_allw_amt	0.99	3
Cr_PAYG_ITI_amt	0.97	3
Div_Ded_amt	0.6	3
Dividends_franking_cr_amt	1.06	3
Frk_Div_amt	1.03	3
Gift_amt	0.79	3
Gross_rent_amt	1.15	3
Grs_int_amt	0.86	3
Help_debt	1.47	3
