Age	Date	Value
0	1981-09-01	234014
0	1981-12-01	231333
0	1982-03-01	233826
0	1982-06-01	236108
0	1982-09-01	237201
0	1982-12-01	236544
0	1983-03-01	239138
0	1983-06-01	240717
0	1983-09-01	242218
0	1983-12-01	239451
0	1984-03-01	240080
0	1984-06-01	239221
0	1984-09-01	239915
0	1984-12-01	236811
0	1985-03-01	238998
0	1985-06-01	241022
0	1985-09-01	241492
0	1985-12-01	239161
0	1986-03-01	238692
0	1986-06-01	238584
0	1986-09-01	239717
0	1986-12-01	242236
0	1987-03-01	241353
0	1987-06-01	241989
0	1987-09-01	243077
0	1987-12-01	245067
0	1988-03-01	245851
0	1988-06-01	245514
0	1988-09-01	246537
0	1988-12-01	247157
0	1989-03-01	248893
0	1989-06-01	249558
0	1989-09-01	249102
0	1989-12-01	249470
0	1990-03-01	251770
0	1990-06-01	256554
0	1990-09-01	257863
0	1990-12-01	257309
0	1991-03-01	257626
0	1991-06-01	259085
0	1991-09-01	259395
0	1991-12-01	257094
0	1992-03-01	257598
0	1992-06-01	258028
0	1992-09-01	260270
0	1992-12-01	259118
0	1993-03-01	258410
0	1993-06-01	258484
0	1993-09-01	259577
0	1993-12-01	258268
0	1994-03-01	258504
0	1994-06-01	257403
0	1994-09-01	258883
0	1994-12-01	257926
0	1995-03-01	257754
0	1995-06-01	257572
0	1995-09-01	259427
0	1995-12-01	257230
0	1996-03-01	255807
0	1996-06-01	254191
0	1996-09-01	255910
0	1996-12-01	256127
0	1997-03-01	253837
0	1997-06-01	253375
0	1997-09-01	254547
0	1997-12-01	253202
0	1998-03-01	250632
0	1998-06-01	249279
0	1998-09-01	251417
0	1998-12-01	250661
0	1999-03-01	250431
0	1999-06-01	250617
0	1999-09-01	253209
0	1999-12-01	252238
0	2000-03-01	251814
0	2000-06-01	251139
0	2000-09-01	253349
0	2000-12-01	253508
0	2001-03-01	252173
0	2001-06-01	251320
0	2001-09-01	252780
0	2001-12-01	250687
0	2002-03-01	250034
0	2002-06-01	248820
0	2002-09-01	250638
