variable	inflator	h
Asbl_forgn_source_incm_amt	0.59	1
Aust_govt_pnsn_allw_amt	1.01	1
Cr_PAYG_ITI_amt	0.96	1
Div_Ded_amt	0.72	1
Dividends_franking_cr_amt	1.01	1
Frk_Div_amt	0.99	1
Gift_amt	0.85	1
Gross_rent_amt	1.09	1
Grs_int_amt	0.74	1
Help_debt	1.44	1
Hrs_to_prepare_BPI_cnt	0.36	1
Intrst_Ded_amt	0.77	1
Med_Exp_TO_amt	0.88	1
NPP_loss_claimed	0.94	1
Net_CG_amt	1.06	1
Net_PT_NPP_dsn	1.03	1
Net_PT_PP_dsn	1.11	1
Net_farm_management_amt	1.56	1
Net_fincl_invstmt_lss_amt	0.74	1
Other_foreign_inc_amt	0.9	1
Other_inc_amt	0.84	1
Other_rent_ded_amt	1.12	1
PP_loss_claimed	0.92	1
Rent_cap_wks_amt	1.18	1
Rent_int_ded_amt	0.98	1
Rep_frng_ben_amt	1.11	1
Spouse_adjusted_taxable_inc	1	1
TFN_amts_wheld_divs_amt	1.1	1
TFN_amts_wheld_gr_intst_amt	0.93	1
Taxed_othr_pnsn_amt	0.94	1
Tot_CY_CG_amt	1.08	1
Total_NPP_BE_amt	1.19	1
Total_NPP_BI_amt	1.07	1
Total_PP_BE_amt	1.04	1
Total_PP_BI_amt	1.15	1
Unfranked_Div_amt	0.93	1
Untaxed_othr_pnsn_amt	1.08	1
Asbl_forgn_source_incm_amt	0.59	2
Aust_govt_pnsn_allw_amt	1.01	2
Cr_PAYG_ITI_amt	0.96	2
Div_Ded_amt	0.63	2
Dividends_franking_cr_amt	1.01	2
Frk_Div_amt	0.99	2
Gift_amt	0.85	2
Gross_rent_amt	1.13	2
Grs_int_amt	0.74	2
Help_debt	1.56	2
Hrs_to_prepare_BPI_cnt	0.36	2
Intrst_Ded_amt	0.77	2
Med_Exp_TO_amt	0.84	2
NPP_loss_claimed	0.94	2
Net_CG_amt	1.06	2
Net_PT_NPP_dsn	1.02	2
Net_PT_PP_dsn	1.11	2
Net_farm_management_amt	1.56	2
Net_fincl_invstmt_lss_amt	0.74	2
Other_foreign_inc_amt	0.9	2
Other_inc_amt	0.84	2
Other_rent_ded_amt	1.16	2
PP_loss_claimed	0.92	2
Rent_cap_wks_amt	1.23	2
Rent_int_ded_amt	0.98	2
Rep_frng_ben_amt	1.15	2
Spouse_adjusted_taxable_inc	1	2
TFN_amts_wheld_divs_amt	1.1	2
TFN_amts_wheld_gr_intst_amt	0.93	2
Taxed_othr_pnsn_amt	0.94	2
Tot_CY_CG_amt	1.08	2
Total_NPP_BE_amt	1.19	2
Total_NPP_BI_amt	1.07	2
Total_PP_BE_amt	1.04	2
Total_PP_BI_amt	1.15	2
Unfranked_Div_amt	0.93	2
Untaxed_othr_pnsn_amt	1.1	2
Asbl_forgn_source_incm_amt	0.59	3
Aust_govt_pnsn_allw_amt	1.01	3
