table_no	sheet_no	table_title	date	series	value	series_type	data_type	collection_month	frequency	series_id	unit
6202001	Data1	Table 1. Labour force status by Sex, Australia - Trend, Seasonally adjusted and Original	1978-02-01	Employed total ;  Persons ;	5985.6597158	Original	STOCK	1	Month	A84423085A	000
6202001	Data1	Table 1. Labour force status by Sex, Australia - Trend, Seasonally adjusted and Original	1978-03-01	Employed total ;  Persons ;	6040.560795	Original	STOCK	1	Month	A84423085A	000
6202001	Data1	Table 1. Labour force status by Sex, Australia - Trend, Seasonally adjusted and Original	1978-04-01	Employed total ;  Persons ;	6054.2138586	Original	STOCK	1	Month	A84423085A	000
6202001	Data1	Table 1. Labour force status by Sex, Australia - Trend, Seasonally adjusted and Original	1978-05-01	Employed total ;  Persons ;	6038.2647505	Original	STOCK	1	Month	A84423085A	000
6202001	Data1	Table 1. Labour force status by Sex, Australia - Trend, Seasonally adjusted and Original	1978-06-01	Employed total ;  Persons ;	6031.3422994	Original	STOCK	1	Month	A84423085A	000
6202001	Data1	Table 1. Labour force status by Sex, Australia - Trend, Seasonally adjusted and Original	1978-07-01	Employed total ;  Persons ;	6036.0839263	Original	STOCK	1	Month	A84423085A	000
6202001	Data1	Table 1. Labour force status by Sex, Australia - Trend, Seasonally adjusted and Original	1978-08-01	Employed total ;  Persons ;	6005.3614529	Original	STOCK	1	Month	A84423085A	000
6202001	Data1	Table 1. Labour force status by Sex, Australia - Trend, Seasonally adjusted and Original	1978-09-01	Employed total ;  Persons ;	6024.3134515	Original	STOCK	1	Month	A84423085A	000
6202001	Data1	Table 1. Labour force status by Sex, Australia - Trend, Seasonally adjusted and Original	1978-10-01	Employed total ;  Persons ;	6045.8551024	Original	STOCK	1	Month	A84423085A	000
6202001	Data1	Table 1. Labour force status by Sex, Australia - Trend, Seasonally adjusted and Original	1978-11-01	Employed total ;  Persons ;	6033.7974422	Original	STOCK	1	Month	A84423085A	000
6202001	Data1	Table 1. Labour force status by Sex, Australia - Trend, Seasonally adjusted and Original	1978-12-01	Employed total ;  Persons ;	6125.3604376	Original	STOCK	1	Month	A84423085A	000
6202001	Data1	Table 1. Labour force status by Sex, Australia - Trend, Seasonally adjusted and Original	1979-01-01	Employed total ;  Persons ;	5971.3288253	Original	STOCK	1	Month	A84423085A	000
6202001	Data1	Table 1. Labour force status by Sex, Australia - Trend, Seasonally adjusted and Original	1979-02-01	Employed total ;  Persons ;	6050.6934726	Original	STOCK	1	Month	A84423085A	000
6202001	Data1	Table 1. Labour force status by Sex, Australia - Trend, Seasonally adjusted and Original	1979-03-01	Employed total ;  Persons ;	6096.1752153	Original	STOCK	1	Month	A84423085A	000
6202001	Data1	Table 1. Labour force status by Sex, Australia - Trend, Seasonally adjusted and Original	1979-04-01	Employed total ;  Persons ;	6087.6537083	Original	STOCK	1	Month	A84423085A	000
6202001	Data1	Table 1. Labour force status by Sex, Australia - Trend, Seasonally adjusted and Original	1979-05-01	Employed total ;  Persons ;	6075.6109053	Original	STOCK	1	Month	A84423085A	000
