date	cpi
1948-09-01	3.7
1948-12-01	3.8
1949-03-01	3.9
1949-06-01	4
1949-09-01	4.1
1949-12-01	4.1
1950-03-01	4.2
1950-06-01	4.3
1950-09-01	4.4
1950-12-01	4.6
1951-03-01	4.8
1951-06-01	5.1
1951-09-01	5.3
1951-12-01	5.7
1952-03-01	5.9
1952-06-01	6.1
1952-09-01	6.2
1952-12-01	6.3
1953-03-01	6.3
1953-06-01	6.4
1953-09-01	6.5
1953-12-01	6.4
1954-03-01	6.5
1954-06-01	6.5
1954-09-01	6.5
1954-12-01	6.5
1955-03-01	6.5
1955-06-01	6.6
1955-09-01	6.6
1955-12-01	6.7
1956-03-01	6.7
1956-06-01	7
1956-09-01	7.1
1956-12-01	7.1
1957-03-01	7.1
1957-06-01	7.2
1957-09-01	7.2
1957-12-01	7.2
1958-03-01	7.2
1958-06-01	7.2
1958-09-01	7.2
1958-12-01	7.3
1959-03-01	7.3
1959-06-01	7.3
1959-09-01	7.4
1959-12-01	7.5
1960-03-01	7.5
1960-06-01	7.6
1960-09-01	7.7
1960-12-01	7.8
1961-03-01	7.8
1961-06-01	7.9
1961-09-01	7.8
1961-12-01	7.8
1962-03-01	7.8
1962-06-01	7.8
1962-09-01	7.8
1962-12-01	7.8
1963-03-01	7.8
1963-06-01	7.8
1963-09-01	7.9
1963-12-01	7.9
1964-03-01	8
1964-06-01	8
1964-09-01	8.1
1964-12-01	8.2
1965-03-01	8.2
1965-06-01	8.3
1965-09-01	8.4
1965-12-01	8.5
1966-03-01	8.6
1966-06-01	8.6
1966-09-01	8.6
1966-12-01	8.7
1967-03-01	8.8
1967-06-01	8.9
1967-09-01	9
1967-12-01	9
1968-03-01	9.1
1968-06-01	9.1
1968-09-01	9.2
1968-12-01	9.2
1969-03-01	9.4
1969-06-01	9.4
1969-09-01	9.5
1969-12-01	9.5
1970-03-01	9.6
1970-06-01	9.7
1970-09-01	9.8
1970-12-01	10
1971-03-01	10.1
1971-06-01	10.2
1971-09-01	10.5
1971-12-01	10.7
1972-03-01	10.8
1972-06-01	10.9
1972-09-01	11.1
1972-12-01	11.2
1973-03-01	11.4
1973-06-01	11.8
1973-09-01	12.2
1973-12-01	12.6
1974-03-01	13
1974-06-01	13.5
1974-09-01	14.2
1974-12-01	14.7
1975-03-01	15.3
1975-06-01	15.8
1975-09-01	15.9
1975-12-01	16.8
1976-03-01	17.3
1976-06-01	17.7
1976-09-01	18.1
1976-12-01	19.2
1977-03-01	19.6
1977-06-01	20.1
1977-09-01	20.5
1977-12-01	21
1978-03-01	21.3
1978-06-01	21.7
1978-09-01	22.1
1978-12-01	22.6
1979-03-01	23
1979-06-01	23.6
1979-09-01	24.2
1979-12-01	24.9
1980-03-01	25.4
1980-06-01	26.2
1980-09-01	26.6
1980-12-01	27.2
1981-03-01	27.8
1981-06-01	28.4
1981-09-01	29
1981-12-01	30.2
1982-03-01	30.8
1982-06-01	31.5
1982-09-01	32.6
1982-12-01	33.6
1983-03-01	34.3
1983-06-01	35
1983-09-01	35.6
1983-12-01	36.5
1984-03-01	36.3
1984-06-01	36.4
1984-09-01	36.9
1984-12-01	37.4
1985-03-01	37.9
1985-06-01	38.8
1985-09-01	39.7
1985-12-01	40.5
1986-03-01	41.4
1986-06-01	42.1
1986-09-01	43.2
1986-12-01	44.4
1987-03-01	45.3
1987-06-01	46
1987-09-01	46.8
1987-12-01	47.6
1988-03-01	48.4
1988-06-01	49.3
1988-09-01	50.2
1988-12-01	51.2
1989-03-01	51.7
1989-06-01	53
1989-09-01	54.2
1989-12-01	55.2
1990-03-01	56.2
1990-06-01	57.1
1990-09-01	57.5
1990-12-01	59
1991-03-01	58.9
1991-06-01	59
1991-09-01	59.3
1991-12-01	59.9
1992-03-01	59.9
1992-06-01	59.7
1992-09-01	59.8
1992-12-01	60.1
1993-03-01	60.6
1993-06-01	60.8
1993-09-01	61.1
1993-12-01	61.2
1994-03-01	61.5
1994-06-01	61.9
1994-09-01	62.3
1994-12-01	62.8
1995-03-01	63.8
1995-06-01	64.7
1995-09-01	65.5
1995-12-01	66
1996-03-01	66.2
1996-06-01	66.7
1996-09-01	66.9
1996-12-01	67
1997-03-01	67.1
1997-06-01	66.9
1997-09-01	66.6
1997-12-01	66.8
1998-03-01	67
1998-06-01	67.4
1998-09-01	67.5
1998-12-01	67.8
1999-03-01	67.8
1999-06-01	68.1
1999-09-01	68.7
1999-12-01	69.1
2000-03-01	69.7
2000-06-01	70.2
2000-09-01	72.9
2000-12-01	73.1
2001-03-01	73.9
2001-06-01	74.5
2001-09-01	74.7
2001-12-01	75.4
2002-03-01	76.1
2002-06-01	76.6
2002-09-01	77.1
2002-12-01	77.6
2003-03-01	78.6
2003-06-01	78.6
2003-09-01	79.1
2003-12-01	79.5
2004-03-01	80.2
2004-06-01	80.6
2004-09-01	80.9
2004-12-01	81.5
2005-03-01	82.1
2005-06-01	82.6
2005-09-01	83.4
2005-12-01	83.8
2006-03-01	84.5
2006-06-01	85.9
2006-09-01	86.7
2006-12-01	86.6
2007-03-01	86.6
2007-06-01	87.7
2007-09-01	88.3
2007-12-01	89.1
2008-03-01	90.3
2008-06-01	91.6
2008-09-01	92.7
2008-12-01	92.4
2009-03-01	92.5
2009-06-01	92.9
2009-09-01	93.8
2009-12-01	94.3
2010-03-01	95.2
2010-06-01	95.8
2010-09-01	96.5
2010-12-01	96.9
2011-03-01	98.3
2011-06-01	99.2
2011-09-01	99.8
2011-12-01	99.8
2012-03-01	99.9
2012-06-01	100.4
2012-09-01	101.8
2012-12-01	102
2013-03-01	102.4
2013-06-01	102.8
2013-09-01	104
2013-12-01	104.8
2014-03-01	105.4
2014-06-01	105.9
2014-09-01	106.4
2014-12-01	106.6
2015-03-01	106.8
2015-06-01	107.5
2015-09-01	108
2015-12-01	108.4
2016-03-01	108.2
2016-06-01	108.6
2016-09-01	109.4
2016-12-01	110
2017-03-01	110.5
2017-06-01	110.7
2017-09-01	111.4
2017-12-01	112.1
2018-03-01	112.6
2018-06-01	113
2018-09-01	113.5
2018-12-01	114.1
2019-03-01	114.1
2019-06-01	114.8
2019-09-01	115.4
2019-12-01	116.2
2020-03-01	116.6
2020-06-01	114.4
2020-09-01	116.2
2020-12-01	117.2
2021-03-01	117.9
