variable	inflator	h
Asbl_forgn_source_incm_amt	1.51	1
Aust_govt_pnsn_allw_amt	1.17	1
Cr_PAYG_ITI_amt	1.03	1
Div_Ded_amt	0.68	1
Dividends_franking_cr_amt	1.05	1
Frk_Div_amt	0.99	1
Gift_amt	1.49	1
Gross_rent_amt	1.13	1
Grs_int_amt	0.68	1
Help_debt	1.71	1
Hrs_to_prepare_BPI_cnt	0.79	1
Intrst_Ded_amt	0.68	1
Med_Exp_TO_amt	0.39	1
NPP_loss_claimed	0.89	1
Net_CG_amt	1.53	1
Net_PT_NPP_dsn	1.17	1
Net_PT_PP_dsn	2.71	1
Net_farm_management_amt	2.03	1
Net_fincl_invstmt_lss_amt	0.74	1
Other_foreign_inc_amt	1.89	1
Other_inc_amt	1.02	1
Other_rent_ded_amt	1.19	1
PP_loss_claimed	1.08	1
Rent_cap_wks_amt	1.33	1
Rent_int_ded_amt	0.9	1
Rep_frng_ben_amt	1.12	1
Spouse_adjusted_taxable_inc	0.95	1
TFN_amts_wheld_divs_amt	1.14	1
TFN_amts_wheld_gr_intst_amt	1.05	1
Taxed_othr_pnsn_amt	1.05	1
Tot_CY_CG_amt	1.53	1
Total_NPP_BE_amt	1.01	1
Total_NPP_BI_amt	0.97	1
Total_PP_BE_amt	1.05	1
Total_PP_BI_amt	1.05	1
Unfranked_Div_amt	1.02	1
Untaxed_othr_pnsn_amt	1.14	1
Asbl_forgn_source_incm_amt	1.51	2
Aust_govt_pnsn_allw_amt	1.17	2
Cr_PAYG_ITI_amt	1.03	2
Div_Ded_amt	0.61	2
Dividends_franking_cr_amt	1.05	2
Frk_Div_amt	0.99	2
Gift_amt	1.49	2
Gross_rent_amt	1.18	2
Grs_int_amt	0.68	2
Help_debt	1.87	2
Hrs_to_prepare_BPI_cnt	0.79	2
Intrst_Ded_amt	0.68	2
Med_Exp_TO_amt	0.37	2
NPP_loss_claimed	0.89	2
Net_CG_amt	1.53	2
Net_PT_NPP_dsn	1.21	2
Net_PT_PP_dsn	2.71	2
Net_farm_management_amt	2.03	2
Net_fincl_invstmt_lss_amt	0.74	2
Other_foreign_inc_amt	1.89	2
Other_inc_amt	1.02	2
Other_rent_ded_amt	1.24	2
PP_loss_claimed	1.08	2
Rent_cap_wks_amt	1.41	2
Rent_int_ded_amt	0.9	2
Rep_frng_ben_amt	1.16	2
Spouse_adjusted_taxable_inc	0.95	2
TFN_amts_wheld_divs_amt	1.14	2
TFN_amts_wheld_gr_intst_amt	1.05	2
Taxed_othr_pnsn_amt	1.05	2
