fy_year	family_status	family_status_index	max_offset	lower_threshold	upper_threshold	taper_rate	source	sapto	sato	pto
2000-01	married	2	2310	25590	22035		ATO Historical-rates-of-personal-income-tax	0	0	1
2000-01	separated_due_illness	3	2942	29306	26421		ATO Historical-rates-of-personal-income-tax	0	0	1
2000-01	single	1	1608	15459	28323		ATO Historical-rates-of-personal-income-tax	0	0	1
2001-02	married	2	2490	26648	23284		ATO Historical-rates-of-personal-income-tax	0	0	1
2001-02	separated_due_illness	3	3146	30506	27837		ATO Historical-rates-of-personal-income-tax	0	0	1
2001-02	single	1	1710	16059	29739		ATO Historical-rates-of-personal-income-tax	0	0	1
2002-03	married	2	2848	28754	25769	0.125	ATO Historical-rates-of-personal-income-tax	0	0	1
2002-03	separated_due_illness	3	3564	32966	30739	0.125	ATO Historical-rates-of-personal-income-tax	0	0	1
2002-03	single	1	1925	17342	32766	0.125	ATO Historical-rates-of-personal-income-tax	0	0	1
2003-04	married	2	3204	33612	29622	0.125	https://www.dss.gov.au/sites/default/files/documents/06_2012/tax2003-04.pdf	0	1	0
2003-04	separated_due_illness	3	4080	38766	35703	0.125	https://www.dss.gov.au/sites/default/files/documents/06_2012/tax2003-04.pdf	0	0	0
2003-04	single	1	2230	20500	38340	0.125	https://www.dss.gov.au/sites/default/files/documents/06_2012/tax2003-04.pdf	0	1	0
2004-05	married	2	3204	33612	29622	0.125	https://www.dss.gov.au/sites/default/files/documents/06_2012/tax2004-05.pdf	0	1	0
2004-05	separated_due_illness	3	4080	38766	35703	0.125	https://www.dss.gov.au/sites/default/files/documents/06_2012/tax2004-05.pdf	0	1	0
2004-05	single	1	2230	20500	38340	0.125	https://www.dss.gov.au/sites/default/files/documents/06_2012/tax2004-05.pdf	0	1	0
2005-06	married	2	3204	36494	31063	0.125	https://www.dss.gov.au/sites/default/files/documents/06_2012/tax_2005-06.pdf	0	1	0
2005-06	separated_due_illness	3	4080	42334	37487	0.125	https://www.dss.gov.au/sites/default/files/documents/06_2012/tax_2005-06.pdf	0	1	0
2005-06	single	1	2230	21968	39808	0.125	https://www.dss.gov.au/sites/default/files/documents/06_2012/tax_2005-06.pdf	0	1	0
2006-07	married	2	3204	43360	66992	0.125	http://www.inthepicture.com.au/tax_rates.pdf	0	1	0
2006-07	separated_due_illness	3	4080	47200	79840	0.125	http://www.inthepicture.com.au/tax_rates.pdf	0	1	0
2006-07	single	1	2230	24867	42707	0.125		0	1	0
2007-08	married	2	3204	41360	66992	0.125	http://www.lewistaxation.com.au/tax/historic-tax-tax/senior-australians-tax-offset-historical	0	1	0
2007-08	separated_due_illness	3	4080	47200	79840	0.125	http://www.lewistaxation.com.au/tax/historic-tax-tax/senior-australians-tax-offset-historical	0	1	0
2007-08	single	1	2230	24867	42707	0.125	http://www.lewistaxation.com.au/tax/historic-tax-tax/senior-australians-tax-offset-historical	0	1	0
2008-09	single	1	2230	28867	46707	0.125	http://www.lewistaxation.com.au/tax/historic-tax-tax/senior-australians-tax-offset-historical	0	1	0
2009-10	single	1	2230	29867	47707	0.125	http://www.lewistaxation.com.au/tax/historic-tax-tax/senior-australians-tax-offset-historical	0	1	0
2010-11	single	1	2230	30685	48525	0.125	http://www.lewistaxation.com.au/tax/historic-tax-tax/senior-australians-tax-offset-historical	0	1	0
2011-12	single	1	2230	30685	48525	0.125	http://www.lewistaxation.com.au/tax/historic-tax-tax/senior-australians-tax-offset-historical	0	1	0
2012-13	married	2	3204	57948	83580	0.125		1	0	0
2012-13	separated_due_illness	3	4080	62558	95198	0.125		1	0	0
2012-13	single	1	2230	32279	50119	0.125		1	0	0
2013-14	married	2	3204	57948	83580	0.125		1	0	0
2013-14	separated_due_illness	3	4080	62558	95198	0.125		1	0	0
2013-14	single	1	2230	32279	50119	0.125		1	0	0
2014-15	married	2	3204	57948	83580	0.125		1	0	0
2014-15	separated_due_illness	3	4080	62558	95198	0.125		1	0	0
2014-15	single	1	2230	32279	50119	0.125		1	0	0
2015-16	married	2	3204	57948	83580	0.125		1	0	0
2015-16	separated_due_illness	3	4080	62558	95198	0.125		1	0	0
2015-16	single	1	2230	32279	50119	0.125		1	0	0
2016-17	married	2	3204	57948	83580	0.125		1	0	0
2016-17	single	1	2230	32279	50119	0.125		1	0	0
2017-18	married	2	3204	57948	83580	0.125		1	0	0
2017-18	single	1	2230	32279	50119	0.125		1	0	0
2018-19	married	2	3204	57948	83580	0.125		1	0	0
2018-19	single	1	2230	32279	50119	0.125		1	0	0
2019-20	married	2	3204	57948	83580	0.125		1	0	0
2019-20	single	1	2230	32279	50119	0.125		1	0	0
2020-21	married	2	3204	57948	83580	0.125		1	0	0
2020-21	single	1	2230	32279	50119	0.125		1	0	0
