fy_year	n_CG	zero_discount_Net_CG_total	cg_inflator	forecast.series
2012-13	526775	9665465419.10878	1	lower
2013-14	609678	10496647949.0076	0.938323281182954	lower
2013-14	348488.543345119	10496647949.0076	1.64158929281792	lower
2015-16	224285.934599451	23154370475.752	5.62643522345237	lower
2016-17	189391.341544427	22821897463.7925	6.56740824497243	lower
2017-18	162687.733874961	26312864089.3674	8.81486564360603	lower
2018-19	141511.200762265	26859069751.8723	10.3443340165231	lower
2019-20	124302.970561863	28711419389.9325	12.588545095065	lower
2019-20	124302.970561863	18780542101.6435	8.23434390147932	lower
2020-21	110063.865572512	14667837138.9036	7.26312806769583	lower
2021-22	98113.010224684	11511950866.1432	6.39476679421012	lower
2022-23	87965.7237511028	8851383027.93265	5.48403273669321	lower
2023-24	79265.5215776313	6507360058.65371	4.47427733533872	lower
2012-13	526775	9665465419.10878	1	mean
2013-14	609678	10496647949.0076	0.938323281182954	mean
2013-14	608907.841511015	10496647949.0076	0.939510090731378	mean
2015-16	607814.015956485	23154370475.752	2.07617832005642	mean
2016-17	607425.5739054	22821897463.7925	2.04767515794284	mean
2017-18	607114.999007859	26312864089.3674	2.36210687977411	mean
2018-19	606866.653425896	26859069751.8723	2.41212648528377	mean
2019-20	606668.050104826	28711419389.9325	2.57932414620841	mean
2019-20	606668.050104826	28711229350.2959	2.57930707377403	mean
2020-21	606509.214244752	28711229350.2959	2.57998255643421	mean
2021-22	606382.17549856	28711229350.2959	2.58052306992951	mean
2022-23	606280.563660244	28711229350.2959	2.58095556225842	mean
2023-24	606199.286448967	28711229350.2959	2.58130160831162	mean
2012-13	526775	9665465419.10878	1	upper
2013-14	609678	10496647949.0076	0.938323281182954	upper
2013-14	1063933.85531306	10496647949.0076	0.537697957977596	upper
2015-16	1647173.63419567	23154370475.752	0.766118553841164	upper
2016-17	1948166.29327141	22821897463.7925	0.638451790425253	upper
2017-18	2265620.23602593	26312864089.3674	0.632970386284149	upper
2018-19	2602529.92735932	26859069751.8723	0.562467740476448	upper
2019-20	2960879.5457935	28711419389.9325	0.528489432334943	upper
2019-20	2960879.5457935	38641916598.9484	0.711279518799173	upper
2020-21	3342181.60565547	42754621561.6882	0.697196834221805	upper
2021-22	3747712.37698564	45910507834.4487	0.667649038820819	upper
2022-23	4178628.97271478	48571075672.6592	0.63349952691741	upper
2023-24	4636033.01381592	50915098641.9381	0.598552782346028	upper
