fy_year	obsValue
1997-98	68.3
1998-99	70.4
1999-00	72.5
2000-01	75.1
2001-02	77.5
2002-03	80.3
2003-04	83.2
2004-05	86.5
2005-06	90.1
2006-07	93.7
2007-08	97.7
2008-09	101.4
2009-10	104.5
2010-11	108.5
2011-12	112.4
2012-13	115.7
2013-14	118.7
2014-15	121.4
2015-16	123.9
2016-17	126.3
2017-18	129
2018-19	132
