fy_year	sato	pto	sapto	lower_threshold	upper_threshold	taper	rate	lower_family_threshold	upper_family_threshold	lower_up_for_each_child
1999-00	0	0	0	13351	14435	0.2	0.015			0
1999-00	0	0	0	22866	24721	0.2	0.015			0
1999-00	0	0	0	24966	26991	0.2	0.015			0
1999-00	0	0	0		0					0
1999-00	0	1	0		0					0
1999-00	1	0	1		0					0
2000-01	0	0	0	13807	14928	0.2	0.015	23300	25190	2140
2000-01	0	1	0	15970	17266	0.2	0.015	31729	34303	2140
2000-01	1	0	1	20000	21623	0.2	0.015	31729	34303	2140
2001-02	0	0	0	14539	15719	0.2	0.015	24534	26524	2253
2001-02	0	1	0	16570	17915	0.2	0.015	31729	34303	2253
2001-02	1	0	1	20000	21623	0.2	0.015	31729	34303	2253
2002-03	0	0	0	15062	16284	0.2	0.015	25417	27479	2334
2002-03	0	1	0	17164	18557	0.2	0.015	31729	34303	2334
2002-03	1	0	1	20000	21623	0.2	0.015	31729	34303	2334
2003-04	0	0	0	15529	16789	0.2	0.015	26205	28331	2406
2003-04	0	1	0	18141	19613	0.2	0.015	31729	34303	2406
2003-04	1	0	1	20500	22163	0.2	0.015	31729	34303	2406
2004-05	0	0	0	15902	17192	0.2	0.015	26834	29011	2464
2004-05	0	1	0	19252	20814	0.2	0.015	31729	34303	2464
2004-05	1	0	1	20500	22163	0.2	0.015	31729	34303	2464
2005-06	0	0	0	16284	17605	0.2	0.015	27478	29707	2523
2005-06	0	1	0	19583	21172	0.2	0.015	31729	34303	2523
2005-06	1	0	1	21968	23750	0.2	0.015	31729	34303	2523
2006-07	0	0	0	16740	19695	0.1	0.015	28247	33233	2594
2006-07	0	1	0	21637	25456	0.1	0.015	33500	39413	2594
2006-07	1	0	1	24867	29256	0.1	0.015	33500	39413	2594
2007-08	0	0	0	17309	20365	0.1	0.015	29207	34362	2682
2007-08	0	1	0	22922	26968	0.1	0.015	33500	39413	2682
2007-08	1	0	1	25867	30433	0.1	0.015	33500	39413	2682
2008-09	0	0	0	17794	20935	0.1	0.015	30025	35325	2757
2008-09	0	1	0	25299	29765	0.1	0.015	42000	49413	2757
2008-09	1	0	1	28867	33962	0.1	0.015	42000	49413	2757
2009-10	0	0	0	18488	21752	0.1	0.015	31196	36702	2865
2009-10	0	1	0	27697	32586	0.1	0.015			2865
2009-10	1	0	1	29867	35139	0.1	0.015	43500	51178	2865
2010-11	0	0	0	18839	22165	0.1	0.015	31789	37400	2919
2010-11	0	1	0	30439	35812	0.1	0.015			2919
2010-11	1	0	1	30685	36101	0.1	0.015	44500	52354	2919
2011-12	0	0	0	19404	22829	0.1	0.015	32743	38522	3007
2011-12	0	1	0	30452	35827	0.1	0.015	32743	38522	3007
2011-12	1	0	1	30685	36101	0.1	0.015	44500	52354	3007
2012-13	0	0	0	20542	24168	0.1	0.015	33693	39640	3094
2012-13	1	0	1	32279	37976	0.1	0.015	46000	54119	3094
2013-14	0	0	0	20542	24168	0.1	0.015	34367	40433	3156
2013-14	1	0	1	32279	37976	0.1	0.015	46000	54119	3156
2014-15	0	0	0	20896	26121	0.1	0.02	35261	44078	3238
2014-15	1	0	1	33044	41306	0.1	0.02	46000	57501	3238
2015-16	0	0	0	21335	26670	0.1	0.02	35261	44078	3238
2015-16	1	0	1	33738	42174	0.1	0.02	46966	58709	3238
2016-17	0	0	0	21665	27083	0.1	0.02	36541	44077	3356
2016-17	1	0	1	34244	42806	0.1	0.02	47670	59589	3356
2017-18	0	0	0	21980	27476	0.1	0.02	37089	44077	3406
2017-18	1	0	1	34758	43449	0.1	0.02	48385	60483	3406
2018-19	0	0	0	21980	27476	0.1	0.02	37089	44077	3406
2018-19	1	0	1	34758	43449	0.1	0.02	48385	60483	3406
2019-20	0	0	0	21980	27476	0.1	0.02	37089	44077	3406
2019-20	1	0	1	24758	30949	0.1	0.02	48385	58709	3406
