fy_year	n_CG	zero_discount_Net_CG_total	cg_inflator	forecast.series
2012-13	531558	9578777968.62485	1.09595974841071	lower
2012-13	531558	9578777968.62485	1.09595974841071	mean
2012-13	531558	9578777968.62485	1.09595974841071	upper
2013-14	632664	10402505803.7646	1	lower
2013-14	632664	10402505803.7646	1	mean
2013-14	632664	10402505803.7646	1	upper
2014-15	672484	14850636113.5191	1.34306878898712	lower
2014-15	672484	14850636113.5191	1.34306878898712	mean
2014-15	672484	14850636113.5191	1.34306878898712	upper
2015-16	368744.261215617	19463511990.3016	3.21019262698468	lower
2015-16	673504.24511816	19463511990.3016	1.75758373785693	mean
2015-16	1230142.4480392	19463511990.3016	0.9622788893141	upper
2016-17	287622.740423121	19863608367.3695	4.20020106056051	lower
2016-17	674324.747553259	19863608367.3695	1.79153048104778	mean
2016-17	1580938.50470181	19863608367.3695	0.764149481952415	upper
2017-18	237678.508735229	24170528191.1	6.18488150059155	lower
2017-18	674981.869188196	24170528191.1	2.17785614528091	mean
2017-18	1916877.23958384	24170528191.1	0.766879266657602	upper
2018-19	202348.165234481	24758905216.1999	7.44161714002061	lower
2018-19	675508.027559252	24758905216.1999	2.22913350134622	mean
2018-19	2255078.98610407	24758905216.1999	0.667736067756141	upper
2019-20	175575.521329625	25912124185.3955	8.97582146988472	lower
2019-20	675929.249576088	25912124185.3955	2.33150812000665	mean
2019-20	2602187.06441854	25912124185.3955	0.605619232946572	upper
2020-21	154413.513370813	27865535908.7268	10.9753215101151	lower
2020-21	676266.41631877	27865535908.7268	2.50602116836789	mean
2020-21	2961763.22821159	27865535908.7268	0.572205751833332	upper
2021-22	137195.952793593	15382634367.2464	6.81906096618983	lower
2021-22	676536.270820675	29013038204.5529	2.60817832106262	mean
2021-22	3336113.90435505	42643442041.8594	0.777403583293252	upper
2022-23	122887.333836802	10229782623.652	5.06284276105232	lower
2022-23	676752.231965549	30160621474.9206	2.71047711892919	mean
2022-23	3726938.88923151	50091460326.1893	0.817422480447827	upper
2023-24	110800.395592751	6080312310.81806	3.33748814835705	lower
2023-24	676925.050527652	31308204745.2884	2.81288991063708	mean
2023-24	4135612.70770266	56536097179.7587	0.831421248959125	upper
2024-25	100456.33331237	2362695808.52321	1.43042682095048	lower
2024-25	677063.337161033	32455788015.6561	2.91539910892723	mean
2024-25	4563323.65926784	62548880222.789	0.833630167446668	upper
