fy_year	lowest_marginal_rate	tax_free_threshold	next_threshold	coefficient_abv_next_threshold
1996-97	0.2	5400	20700	0.14
1997-98	0.2	5400	20700	0.14
1998-99	0.2	5400	20700	0.14
1999-00	0.2	5400	20700	0.14
2000-01	0.17	6000	20000	0.13
2001-02	0.17	6000	20000	0.13
2002-03	0.17	6000	20000	0.13
2003-04	0.17	6000	21600	0.13
2004-05	0.17	6000	21600	0.13
2005-06	0.15	6000	21600	0.15
2006-07	0.15	6000	25000	0.15
2007-08	0.15	6000	30000	0.15
2008-09	0.15	6000	34000	0.15
2009-10	0.15	6000	35000	0.15
2010-11	0.15	6000	35000	0.15
2011-12	0.15	6000	35000	0.15
2012-13	0.15	6000	37000	0.15
2013-14	0.15	6000	37000	0.15
2014-15	0.15	6000	37000	0.15
2015-16	0.15	6000	37000	0.15
2016-17	0.15	6000	37000	0.15
