Date	City	Residential_property_price_index
2003-09-01	Sydney	85.3
2003-09-01	Melbourne	60.7
2003-09-01	Brisbane	64.2
2003-09-01	Perth	48.3
2003-09-01	Adelaide	62.2
2003-09-01	Hobart	61.2
2003-09-01	Canberra	68.3
2003-09-01	Darwin	40.5
2003-09-01	Australia (weighted average)	69
2003-12-01	Sydney	88.2
2003-12-01	Melbourne	62.1
2003-12-01	Brisbane	69.4
2003-12-01	Perth	50.6
2003-12-01	Adelaide	63.9
2003-12-01	Hobart	66.5
2003-12-01	Canberra	70.9
2003-12-01	Darwin	43.3
2003-12-01	Australia (weighted average)	71.6
2004-03-01	Sydney	87
2004-03-01	Melbourne	60.8
2004-03-01	Brisbane	70.7
2004-03-01	Perth	52.5
2004-03-01	Adelaide	64.8
2004-03-01	Hobart	68.7
2004-03-01	Canberra	69.9
2004-03-01	Darwin	45.5
2004-03-01	Australia (weighted average)	71.3
2004-06-01	Sydney	84.4
2004-06-01	Melbourne	60.9
2004-06-01	Brisbane	71.7
2004-06-01	Perth	53.7
2004-06-01	Adelaide	65.9
2004-06-01	Hobart	71.8
2004-06-01	Canberra	70.1
2004-06-01	Darwin	45.2
2004-06-01	Australia (weighted average)	70.6
2004-09-01	Sydney	84.2
2004-09-01	Melbourne	60.9
2004-09-01	Brisbane	71.2
2004-09-01	Perth	54.7
2004-09-01	Adelaide	67.1
2004-09-01	Hobart	72.3
2004-09-01	Canberra	68.6
2004-09-01	Darwin	46.8
2004-09-01	Australia (weighted average)	70.6
2004-12-01	Sydney	84.8
2004-12-01	Melbourne	62.4
2004-12-01	Brisbane	72
2004-12-01	Perth	57.1
2004-12-01	Adelaide	68.6
2004-12-01	Hobart	74.6
2004-12-01	Canberra	69.7
2004-12-01	Darwin	49.7
2004-12-01	Australia (weighted average)	71.8
2005-03-01	Sydney	83.2
2005-03-01	Melbourne	62.5
2005-03-01	Brisbane	72.6
2005-03-01	Perth	59.4
2005-03-01	Adelaide	68.6
2005-03-01	Hobart	75.8
2005-03-01	Canberra	70.3
2005-03-01	Darwin	53.6
2005-03-01	Australia (weighted average)	71.7
2005-06-01	Sydney	82.6
