fy.year	Sw_amt_percentile	average_salary	min_salary
2003-04	1	279.39	1
2004-05	1	324.55	1
2005-06	1	333.8	1
2006-07	1	378.65	1
2007-08	1	340.09	4
2008-09	1	408.85	2
2009-10	1	423.19	1
2010-11	1	434.19	1
2011-12	1	494.47	1
2012-13	1	523.85	1
2013-14	1	508.86	1
2014-15	1	522.93	96
2015-16	1	525.8	387
2016-17	1	481.46	181
2003-04	2	870.25	551
2004-05	2	907.64	625
2005-06	2	963.1	662
2006-07	2	1040.82	734
2007-08	2	945.32	662
2008-09	2	1191.64	821
2009-10	2	1257.13	875
2010-11	2	1316.21	903
2011-12	2	1493.62	1022
2012-13	2	1581.92	1063
2013-14	2	1457.99	1008
2014-15	2	1480.42	524
2015-16	2	1494.99	526
2016-17	2	1373.05	482
2003-04	3	1454.51	1153
2004-05	3	1498.14	1209
2005-06	3	1556.27	1249
2006-07	3	1661.29	1340
2007-08	3	1561.45	1235
2008-09	3	1974.29	1585
2009-10	3	2113.06	1688
2010-11	3	2206.99	1772
2011-12	3	2432.41	1980
2012-13	3	2697.93	2140
2013-14	3	2501.63	1949
2014-15	3	2550.65	2014
2015-16	3	2544.7	2019
2016-17	3	2419.37	1866
2003-04	4	2032.67	1745
2004-05	4	2112	1810
2005-06	4	2158.41	1848
2006-07	4	2306.58	1981
2007-08	4	2190.78	1881
2008-09	4	2748.37	2368
2009-10	4	2933.44	2526
2010-11	4	3037.06	2628
2011-12	4	3352.59	2880
2012-13	4	3784.45	3256
2013-14	4	3589.98	3061
2014-15	4	3623.12	3095
2015-16	4	3623.81	3078
2016-17	4	3527.2	2977
2003-04	5	2625.36	2323
2004-05	5	2706.54	2407
2005-06	5	2767	2469
2006-07	5	2941.25	2624
2007-08	5	2808.2	2499
2008-09	5	3510.84	3117
2009-10	5	3726.39	3331
2010-11	5	3865.27	3469
2011-12	5	4293.67	3828
2012-13	5	4794.24	4318
2013-14	5	4611	4102
2014-15	5	4669.63	4167
2015-16	5	4672.52	4156
2016-17	5	4599.97	4077
2003-04	6	3186.38	2915
2004-05	6	3308.67	3005
2005-06	6	3381.14	3076
2006-07	6	3575.94	3256
2007-08	6	3422.99	3106
2008-09	6	4273.29	3894
2009-10	6	4528.58	4119
2010-11	6	4684.44	4306
2011-12	6	5140.65	4719
2012-13	6	5774.04	5280
2013-14	6	5565.67	5092
2014-15	6	5621.3	5151
2015-16	6	5661.24	5163
2016-17	6	5578.19	5069
2003-04	7	3751.66	3469
2004-05	7	3876.54	3604
2005-06	7	3989.5	3691
2006-07	7	4188.13	3888
2007-08	7	4062.06	3748
2008-09	7	4961.07	4618
2009-10	7	5303.47	4926
2010-11	7	5459.77	5075
2011-12	7	5977.22	5540
2012-13	7	6804.73	6302
2013-14	7	6587.49	6042
2014-15	7	6649.54	6124
2015-16	7	6706.02	6156
2016-17	7	6648.64	6094
2003-04	8	4332.85	4034
2004-05	8	4448.8	4159
2005-06	8	4579.86	4280
2006-07	8	4773.29	4490
2007-08	8	4688.62	4372
2008-09	8	5698.59	5343
2009-10	8	6023.34	5657
2010-11	8	6275.74	5861
2011-12	8	6866.31	6410
2012-13	8	7797.98	7303
2013-14	8	7646.19	7112
