fy_year,Age,Taxable
2013-14,Under 65,9152710.0
2013-14,Over 65,559583.0
2012-13,Under 65,8959910.0
2012-13,Over 65,516950.0
2011-12,Under 65,9284615.0
2011-12,Over 65,515210.0
2010-11,Under 65,8957645.0
2010-11,Over 65,458315.0
2006-07,Over 65,544745.0
2006-07,Under 65,8761395.0
2007-08,Over 65,459035.0
2007-08,Under 65,9422515.0
2008-09,Over 65,404710.0
2008-09,Under 65,8784095.0
2009-10,Over 65,393875.0
2009-10,Under 65,8712085.0
1999-00,Over 65,565507.0
2000-01,Over 65,372584.0
2001-02,Over 65,383308.0
2002-03,Over 65,418534.0
2003-04,Over 65,457790.0
2004-05,Over 65,519760.0
2005-06,Over 65,551825.0
2006-07,Over 65,544745.0
1999-00,Under 65,7891885.0
2000-01,Under 65,7978648.0
2001-02,Under 65,8012283.0
2002-03,Under 65,8215712.0
2003-04,Under 65,8393520.0
2004-05,Under 65,8579320.0
2005-06,Under 65,8856430.0
2006-07,Under 65,8761400.0
