id,Revenue/$bn
Budget2018_baseline,-2.5
Baseline_brackets_cpi,-136.3
Budget2018_just_rates,-95.5
Budget2018_lamington_et_LITO,-20.9
Budget2018,-113.9
Budget2018_Step1and2,-86
ALP2018,-138
