id,Revenue/$bn
Budget2018_baseline,-2.6
Baseline_brackets_cpi,-130.7
Budget2018_just_rates,-87.1
Budget2018_lamington_et_LITO,-21.2
Budget2018,-105.7
Budget2018_Step1and2,-82
ALP2018,-134.2
