id,Revenue/$bn
Budget2018_baseline,-2.2
Baseline_brackets_cpi,-122.6
Budget2018_just_rates,-122
Budget2018_lamington_et_LITO,-20.6
Budget2018,-140.4
Budget2018_Step1and2,-114.7
ALP2018,-166.6
