Decile,total_delta,prop
1,0,0
2,0,0
3,-1121000,0.012
4,-3533000,0.0378
5,-6209000,0.0665
6,-8775000,0.094
7,-11913000,0.1276
8,-16065000,0.1721
9,-22753000,0.2437
10,-22983000,0.2462
