Taxable_Income_decile,total,min_income,share
1,0,0,0
4,0,1,0
5,37245255,17509,0.006
6,203781693,34060,0.035
7,446231365,51250,0.076
8,734477566,69367,0.125
9,1174630552,95129,0.2
10,3277913083,139306,0.558
