Taxable_Income_percentile,avgTaxRate,id,new_avgTaxRate,delta_avgTaxRate,Wage assumption
1,0,0.02,0,0,2.0%
2,0,0.02,0,0,2.0%
3,0,0.02,0,0,2.0%
4,0,0.02,0,0,2.0%
5,0,0.02,0,0,2.0%
6,0,0.02,0,0,2.0%
7,0,0.02,0,0,2.0%
8,0,0.02,0,0,2.0%
9,0,0.02,0,0,2.0%
10,0,0.02,0,0,2.0%
11,0,0.02,0,0,2.0%
12,0,0.02,0,0,2.0%
13,0,0.02,0,0,2.0%
14,0,0.02,0,0,2.0%
15,0,0.02,0,0,2.0%
16,0,0.02,0,0,2.0%
17,0,0.02,0,0,2.0%
18,0,0.02,0,0,2.0%
19,0,0.02,0,0,2.0%
20,0,0.02,0.0022,0.0022,2.0%
21,0,0.02,0.009,0.009,2.0%
22,0,0.02,0.0152,0.0151,2.0%
23,0.0034,0.02,0.0207,0.0173,2.0%
24,0.0092,0.02,0.0263,0.0172,2.0%
25,0.0162,0.02,0.0333,0.017,2.0%
26,0.0235,0.02,0.0412,0.0177,2.0%
27,0.0307,0.02,0.048,0.0173,2.0%
28,0.0376,0.02,0.0545,0.0169,2.0%
29,0.045,0.02,0.0612,0.0162,2.0%
30,0.0526,0.02,0.0681,0.0155,2.0%
31,0.0575,0.02,0.0735,0.016,2.0%
32,0.062,0.02,0.0778,0.0157,2.0%
33,0.0659,0.02,0.0811,0.0152,2.0%
34,0.0696,0.02,0.0863,0.0168,2.0%
35,0.0728,0.02,0.0918,0.019,2.0%
36,0.0771,0.02,0.0974,0.0203,2.0%
37,0.0821,0.02,0.1033,0.0212,2.0%
38,0.0853,0.02,0.1078,0.0225,2.0%
39,0.0877,0.02,0.1133,0.0257,2.0%
40,0.0924,0.02,0.1202,0.0277,2.0%
41,0.0965,0.02,0.127,0.0305,2.0%
42,0.1016,0.02,0.1329,0.0314,2.0%
43,0.1081,0.02,0.1383,0.0302,2.0%
44,0.1147,0.02,0.1441,0.0293,2.0%
45,0.1202,0.02,0.1494,0.0292,2.0%
46,0.1262,0.02,0.1542,0.028,2.0%
47,0.1315,0.02,0.1589,0.0275,2.0%
48,0.1366,0.02,0.1634,0.0269,2.0%
49,0.1416,0.02,0.1676,0.0259,2.0%
50,0.1462,0.02,0.1714,0.0252,2.0%
51,0.1508,0.02,0.1752,0.0244,2.0%
52,0.1552,0.02,0.179,0.0238,2.0%
53,0.1594,0.02,0.1826,0.0232,2.0%
54,0.1636,0.02,0.1861,0.0225,2.0%
55,0.1678,0.02,0.1898,0.0219,2.0%
56,0.1717,0.02,0.1932,0.0214,2.0%
57,0.1754,0.02,0.1965,0.0211,2.0%
58,0.179,0.02,0.1997,0.0208,2.0%
59,0.1826,0.02,0.203,0.0204,2.0%
60,0.1862,0.02,0.2063,0.0201,2.0%
61,0.1898,0.02,0.2095,0.0197,2.0%
62,0.1932,0.02,0.2124,0.0192,2.0%
63,0.1966,0.02,0.2151,0.0185,2.0%
64,0.1999,0.02,0.2179,0.018,2.0%
65,0.2033,0.02,0.2206,0.0173,2.0%
66,0.2064,0.02,0.2232,0.0168,2.0%
67,0.2096,0.02,0.2259,0.0163,2.0%
68,0.2129,0.02,0.2286,0.0157,2.0%
69,0.2159,0.02,0.2312,0.0153,2.0%
70,0.2189,0.02,0.2335,0.0146,2.0%
71,0.2216,0.02,0.236,0.0145,2.0%
72,0.2243,0.02,0.2386,0.0143,2.0%
73,0.2269,0.02,0.2409,0.014,2.0%
74,0.2295,0.02,0.2433,0.0138,2.0%
75,0.2321,0.02,0.2457,0.0136,2.0%
76,0.2346,0.02,0.2481,0.0134,2.0%
77,0.2371,0.02,0.2503,0.0132,2.0%
78,0.2396,0.02,0.2527,0.0131,2.0%
79,0.2421,0.02,0.2551,0.0129,2.0%
80,0.2447,0.02,0.2574,0.0127,2.0%
81,0.2471,0.02,0.2596,0.0125,2.0%
82,0.2505,0.02,0.262,0.0115,2.0%
83,0.2542,0.02,0.2643,0.0101,2.0%
84,0.2579,0.02,0.2665,0.0086,2.0%
85,0.2616,0.02,0.2688,0.0072,2.0%
86,0.2654,0.02,0.2712,0.0058,2.0%
87,0.2693,0.02,0.2736,0.0043,2.0%
88,0.2733,0.02,0.2761,0.0028,2.0%
89,0.2775,0.02,0.2786,0.0011,2.0%
90,0.2819,0.02,0.2812,-7e-04,2.0%
91,0.2866,0.02,0.284,-0.0026,2.0%
92,0.2915,0.02,0.287,-0.0045,2.0%
93,0.2967,0.02,0.2901,-0.0066,2.0%
94,0.3023,0.02,0.2935,-0.0088,2.0%
95,0.3085,0.02,0.2972,-0.0113,2.0%
96,0.3152,0.02,0.3051,-0.0101,2.0%
97,0.3244,0.02,0.3218,-0.0027,2.0%
98,0.3417,0.02,0.3399,-0.0017,2.0%
99,0.3697,0.02,0.3661,-0.0036,2.0%
100,0.4105,0.02,0.4088,-0.0016,2.0%
1,0,0.025,0,0,2.5%
2,0,0.025,0,0,2.5%
3,0,0.025,0,0,2.5%
4,0,0.025,0,0,2.5%
5,0,0.025,0,0,2.5%
6,0,0.025,0,0,2.5%
7,0,0.025,0,0,2.5%
8,0,0.025,0,0,2.5%
9,0,0.025,0,0,2.5%
10,0,0.025,0,0,2.5%
11,0,0.025,0,0,2.5%
12,0,0.025,0,0,2.5%
13,0,0.025,0,0,2.5%
14,0,0.025,0,0,2.5%
15,0,0.025,0,0,2.5%
16,0,0.025,0,0,2.5%
17,0,0.025,0,0,2.5%
18,0,0.025,0,0,2.5%
19,0,0.025,6e-04,6e-04,2.5%
20,0,0.025,0.0068,0.0068,2.5%
21,0,0.025,0.0136,0.0136,2.5%
22,0,0.025,0.0198,0.0198,2.5%
23,0.0034,0.025,0.0259,0.0225,2.5%
24,0.0092,0.025,0.0325,0.0234,2.5%
25,0.0162,0.025,0.0408,0.0246,2.5%
26,0.0235,0.025,0.0485,0.025,2.5%
27,0.0307,0.025,0.0563,0.0255,2.5%
28,0.0376,0.025,0.0616,0.024,2.5%
29,0.045,0.025,0.0681,0.0231,2.5%
30,0.0526,0.025,0.0749,0.0223,2.5%
31,0.0575,0.025,0.0782,0.0208,2.5%
32,0.062,0.025,0.0821,0.0201,2.5%
33,0.0659,0.025,0.0871,0.0212,2.5%
34,0.0696,0.025,0.0924,0.0228,2.5%
35,0.0728,0.025,0.0989,0.0261,2.5%
36,0.0771,0.025,0.1041,0.0269,2.5%
37,0.0821,0.025,0.1094,0.0273,2.5%
38,0.0853,0.025,0.1164,0.0312,2.5%
39,0.0877,0.025,0.1233,0.0356,2.5%
40,0.0924,0.025,0.1299,0.0375,2.5%
41,0.0965,0.025,0.1362,0.0397,2.5%
42,0.1016,0.025,0.142,0.0404,2.5%
43,0.1081,0.025,0.1475,0.0395,2.5%
44,0.1147,0.025,0.1527,0.038,2.5%
45,0.1202,0.025,0.1579,0.0377,2.5%
46,0.1262,0.025,0.1624,0.0362,2.5%
47,0.1315,0.025,0.1668,0.0353,2.5%
48,0.1366,0.025,0.1708,0.0342,2.5%
49,0.1416,0.025,0.1748,0.0331,2.5%
50,0.1462,0.025,0.1786,0.0324,2.5%
51,0.1508,0.025,0.1822,0.0315,2.5%
52,0.1552,0.025,0.1858,0.0306,2.5%
53,0.1594,0.025,0.1893,0.0299,2.5%
54,0.1636,0.025,0.1927,0.0291,2.5%
55,0.1678,0.025,0.1961,0.0283,2.5%
56,0.1717,0.025,0.1995,0.0278,2.5%
57,0.1754,0.025,0.2027,0.0274,2.5%
58,0.179,0.025,0.2059,0.0269,2.5%
59,0.1826,0.025,0.209,0.0264,2.5%
60,0.1862,0.025,0.2121,0.0259,2.5%
61,0.1898,0.025,0.2148,0.025,2.5%
62,0.1932,0.025,0.2176,0.0244,2.5%
63,0.1966,0.025,0.2203,0.0237,2.5%
64,0.1999,0.025,0.2229,0.023,2.5%
65,0.2033,0.025,0.2256,0.0223,2.5%
66,0.2064,0.025,0.2281,0.0217,2.5%
67,0.2096,0.025,0.2308,0.0211,2.5%
68,0.2129,0.025,0.2332,0.0204,2.5%
69,0.2159,0.025,0.2357,0.0198,2.5%
70,0.2189,0.025,0.2382,0.0193,2.5%
71,0.2216,0.025,0.2405,0.0189,2.5%
72,0.2243,0.025,0.2429,0.0187,2.5%
73,0.2269,0.025,0.2452,0.0183,2.5%
74,0.2295,0.025,0.2475,0.018,2.5%
75,0.2321,0.025,0.2498,0.0177,2.5%
76,0.2346,0.025,0.2521,0.0174,2.5%
77,0.2371,0.025,0.2543,0.0172,2.5%
78,0.2396,0.025,0.2566,0.017,2.5%
79,0.2421,0.025,0.2588,0.0167,2.5%
80,0.2447,0.025,0.2611,0.0164,2.5%
81,0.2471,0.025,0.2632,0.0161,2.5%
82,0.2505,0.025,0.2654,0.015,2.5%
83,0.2542,0.025,0.2677,0.0135,2.5%
84,0.2579,0.025,0.2698,0.0119,2.5%
85,0.2616,0.025,0.2721,0.0105,2.5%
86,0.2654,0.025,0.2743,0.0089,2.5%
87,0.2693,0.025,0.2767,0.0074,2.5%
88,0.2733,0.025,0.2791,0.0058,2.5%
89,0.2775,0.025,0.2815,0.004,2.5%
90,0.2819,0.025,0.284,0.0021,2.5%
91,0.2866,0.025,0.2867,1e-04,2.5%
92,0.2915,0.025,0.2895,-0.0019,2.5%
93,0.2967,0.025,0.2925,-0.0042,2.5%
94,0.3023,0.025,0.2958,-0.0065,2.5%
95,0.3085,0.025,0.2998,-0.0086,2.5%
96,0.3152,0.025,0.3121,-0.0031,2.5%
97,0.3244,0.025,0.3276,0.0032,2.5%
98,0.3417,0.025,0.3444,0.0027,2.5%
99,0.3697,0.025,0.3694,-3e-04,2.5%
100,0.4105,0.025,0.4111,7e-04,2.5%
1,0,0.03,0,0,3.0%
2,0,0.03,0,0,3.0%
3,0,0.03,0,0,3.0%
4,0,0.03,0,0,3.0%
5,0,0.03,0,0,3.0%
6,0,0.03,0,0,3.0%
7,0,0.03,0,0,3.0%
8,0,0.03,0,0,3.0%
9,0,0.03,0,0,3.0%
10,0,0.03,0,0,3.0%
11,0,0.03,0,0,3.0%
12,0,0.03,0,0,3.0%
13,0,0.03,0,0,3.0%
14,0,0.03,0,0,3.0%
15,0,0.03,0,0,3.0%
16,0,0.03,0,0,3.0%
17,0,0.03,0,0,3.0%
18,0,0.03,0,0,3.0%
19,0,0.03,0.0036,0.0036,3.0%
20,0,0.03,0.011,0.011,3.0%
21,0,0.03,0.018,0.018,3.0%
22,0,0.03,0.0244,0.0244,3.0%
23,0.0034,0.03,0.0317,0.0284,3.0%
24,0.0092,0.03,0.0404,0.0312,3.0%
25,0.0162,0.03,0.0478,0.0315,3.0%
26,0.0235,0.03,0.0559,0.0324,3.0%
27,0.0307,0.03,0.0632,0.0325,3.0%
28,0.0376,0.03,0.0695,0.0318,3.0%
29,0.045,0.03,0.0742,0.0292,3.0%
30,0.0526,0.03,0.0791,0.0266,3.0%
31,0.0575,0.03,0.0831,0.0256,3.0%
32,0.062,0.03,0.0878,0.0258,3.0%
33,0.0659,0.03,0.0936,0.0277,3.0%
34,0.0696,0.03,0.0995,0.0299,3.0%
35,0.0728,0.03,0.1055,0.0326,3.0%
36,0.0771,0.03,0.1108,0.0337,3.0%
37,0.0821,0.03,0.1185,0.0364,3.0%
38,0.0853,0.03,0.1263,0.0411,3.0%
39,0.0877,0.03,0.1327,0.0451,3.0%
40,0.0924,0.03,0.1392,0.0468,3.0%
41,0.0965,0.03,0.1452,0.0487,3.0%
42,0.1016,0.03,0.1508,0.0493,3.0%
43,0.1081,0.03,0.1561,0.048,3.0%
44,0.1147,0.03,0.1611,0.0463,3.0%
45,0.1202,0.03,0.1658,0.0457,3.0%
46,0.1262,0.03,0.17,0.0438,3.0%
47,0.1315,0.03,0.1739,0.0424,3.0%
48,0.1366,0.03,0.178,0.0414,3.0%
