Decile,Baseline_2027-28,Budget2018_2027-28,Current_2017-18,Grattan 20%_2027-28,Grattan 80%_2027-28
1,0.00%,0.00%,0.0%,0.0%,0.00%
2,0.04%,0.02%,0.0%,0.0%,0.01%
3,0.83%,0.80%,0.4%,0.4%,0.69%
4,2.33%,2.26%,1.6%,1.7%,2.09%
5,4.29%,4.30%,3.4%,3.5%,4.12%
6,6.26%,6.38%,5.8%,5.8%,6.26%
7,8.67%,8.92%,8.5%,8.6%,8.85%
8,12.20%,12.33%,12.1%,12.1%,12.30%
9,17.88%,17.65%,17.8%,17.6%,17.67%
10,47.49%,47.34%,50.4%,50.2%,48.00%
