Taxable_Income_percentile,T201718,variable,value,delta
64,0.2,Baseline_2027-28,0.239,0.039
65,0.203,Baseline_2027-28,0.241,0.038
66,0.207,Baseline_2027-28,0.244,0.037
67,0.21,Baseline_2027-28,0.246,0.036
68,0.213,Baseline_2027-28,0.248,0.035
69,0.216,Baseline_2027-28,0.251,0.035
70,0.219,Baseline_2027-28,0.254,0.035
71,0.222,Baseline_2027-28,0.258,0.036
72,0.224,Baseline_2027-28,0.261,0.037
73,0.227,Baseline_2027-28,0.264,0.037
74,0.23,Baseline_2027-28,0.266,0.036
75,0.232,Baseline_2027-28,0.269,0.037
76,0.235,Baseline_2027-28,0.272,0.037
77,0.237,Baseline_2027-28,0.275,0.038
78,0.24,Baseline_2027-28,0.278,0.038
79,0.242,Baseline_2027-28,0.281,0.039
80,0.245,Baseline_2027-28,0.284,0.039
81,0.247,Baseline_2027-28,0.286,0.039
82,0.251,Baseline_2027-28,0.289,0.038
83,0.254,Baseline_2027-28,0.292,0.038
84,0.258,Baseline_2027-28,0.295,0.037
85,0.262,Baseline_2027-28,0.298,0.036
86,0.265,Baseline_2027-28,0.301,0.036
87,0.269,Baseline_2027-28,0.304,0.035
88,0.273,Baseline_2027-28,0.307,0.034
89,0.278,Baseline_2027-28,0.31,0.032
90,0.282,Baseline_2027-28,0.313,0.031
91,0.287,Baseline_2027-28,0.316,0.029
92,0.292,Baseline_2027-28,0.32,0.028
93,0.297,Baseline_2027-28,0.326,0.029
94,0.302,Baseline_2027-28,0.335,0.033
95,0.308,Baseline_2027-28,0.345,0.037
96,0.315,Baseline_2027-28,0.355,0.04
97,0.324,Baseline_2027-28,0.365,0.041
98,0.342,Baseline_2027-28,0.377,0.035
99,0.37,Baseline_2027-28,0.396,0.026
100,0.41,Baseline_2027-28,0.427,0.017
1,0,Budget 2018_2027-28,0,0
2,0,Budget 2018_2027-28,0,0
3,0,Budget 2018_2027-28,0,0
4,0,Budget 2018_2027-28,0,0
5,0,Budget 2018_2027-28,0,0
6,0,Budget 2018_2027-28,0,0
7,0,Budget 2018_2027-28,0,0
8,0,Budget 2018_2027-28,0,0
9,0,Budget 2018_2027-28,0,0
10,0,Budget 2018_2027-28,0,0
11,0,Budget 2018_2027-28,0,0
12,0,Budget 2018_2027-28,0,0
13,0,Budget 2018_2027-28,0,0
14,0,Budget 2018_2027-28,0,0
15,0,Budget 2018_2027-28,0,0
16,0,Budget 2018_2027-28,0,0
17,0,Budget 2018_2027-28,0,0
18,0,Budget 2018_2027-28,0,0
19,0,Budget 2018_2027-28,0.007,0.007
20,0,Budget 2018_2027-28,0.014,0.014
21,0,Budget 2018_2027-28,0.021,0.021
22,0,Budget 2018_2027-28,0.029,0.029
23,0.003,Budget 2018_2027-28,0.038,0.035
24,0.009,Budget 2018_2027-28,0.047,0.038
25,0.016,Budget 2018_2027-28,0.055,0.039
26,0.024,Budget 2018_2027-28,0.062,0.038
27,0.031,Budget 2018_2027-28,0.07,0.039
28,0.038,Budget 2018_2027-28,0.075,0.037
29,0.045,Budget 2018_2027-28,0.078,0.033
30,0.053,Budget 2018_2027-28,0.083,0.03
31,0.058,Budget 2018_2027-28,0.088,0.03
32,0.062,Budget 2018_2027-28,0.094,0.032
33,0.066,Budget 2018_2027-28,0.1,0.034
34,0.07,Budget 2018_2027-28,0.105,0.035
35,0.073,Budget 2018_2027-28,0.112,0.039
36,0.077,Budget 2018_2027-28,0.12,0.043
37,0.082,Budget 2018_2027-28,0.128,0.046
38,0.086,Budget 2018_2027-28,0.135,0.049
39,0.088,Budget 2018_2027-28,0.141,0.053
40,0.093,Budget 2018_2027-28,0.148,0.055
41,0.097,Budget 2018_2027-28,0.154,0.057
42,0.102,Budget 2018_2027-28,0.159,0.057
43,0.108,Budget 2018_2027-28,0.164,0.056
44,0.115,Budget 2018_2027-28,0.169,0.054
45,0.121,Budget 2018_2027-28,0.173,0.052
46,0.127,Budget 2018_2027-28,0.177,0.05
47,0.132,Budget 2018_2027-28,0.181,0.049
48,0.137,Budget 2018_2027-28,0.185,0.048
49,0.142,Budget 2018_2027-28,0.189,0.047
50,0.147,Budget 2018_2027-28,0.192,0.045
51,0.151,Budget 2018_2027-28,0.195,0.044
52,0.155,Budget 2018_2027-28,0.199,0.044
53,0.16,Budget 2018_2027-28,0.202,0.042
54,0.164,Budget 2018_2027-28,0.205,0.041
55,0.168,Budget 2018_2027-28,0.208,0.04
56,0.172,Budget 2018_2027-28,0.211,0.039
57,0.176,Budget 2018_2027-28,0.214,0.038
58,0.179,Budget 2018_2027-28,0.217,0.038
59,0.183,Budget 2018_2027-28,0.22,0.037
60,0.186,Budget 2018_2027-28,0.222,0.036
61,0.19,Budget 2018_2027-28,0.225,0.035
62,0.193,Budget 2018_2027-28,0.227,0.034
63,0.197,Budget 2018_2027-28,0.23,0.033
64,0.2,Budget 2018_2027-28,0.232,0.032
65,0.203,Budget 2018_2027-28,0.235,0.032
66,0.207,Budget 2018_2027-28,0.237,0.03
67,0.21,Budget 2018_2027-28,0.24,0.03
68,0.213,Budget 2018_2027-28,0.242,0.029
69,0.216,Budget 2018_2027-28,0.244,0.028
70,0.219,Budget 2018_2027-28,0.246,0.027
71,0.222,Budget 2018_2027-28,0.249,0.027
72,0.224,Budget 2018_2027-28,0.251,0.027
73,0.227,Budget 2018_2027-28,0.253,0.026
74,0.23,Budget 2018_2027-28,0.255,0.025
75,0.232,Budget 2018_2027-28,0.257,0.025
76,0.235,Budget 2018_2027-28,0.259,0.024
77,0.237,Budget 2018_2027-28,0.261,0.024
78,0.24,Budget 2018_2027-28,0.263,0.023
79,0.242,Budget 2018_2027-28,0.266,0.024
80,0.245,Budget 2018_2027-28,0.268,0.023
81,0.247,Budget 2018_2027-28,0.27,0.023
82,0.251,Budget 2018_2027-28,0.272,0.021
83,0.254,Budget 2018_2027-28,0.274,0.02
84,0.258,Budget 2018_2027-28,0.276,0.018
85,0.262,Budget 2018_2027-28,0.278,0.016
86,0.265,Budget 2018_2027-28,0.28,0.015
87,0.269,Budget 2018_2027-28,0.282,0.013
88,0.273,Budget 2018_2027-28,0.284,0.011
89,0.278,Budget 2018_2027-28,0.287,0.009
90,0.282,Budget 2018_2027-28,0.289,0.007
91,0.287,Budget 2018_2027-28,0.291,0.004
92,0.292,Budget 2018_2027-28,0.294,0.002
93,0.297,Budget 2018_2027-28,0.297,0
94,0.302,Budget 2018_2027-28,0.3,-0.002
95,0.308,Budget 2018_2027-28,0.311,0.003
96,0.315,Budget 2018_2027-28,0.324,0.009
97,0.324,Budget 2018_2027-28,0.337,0.013
98,0.342,Budget 2018_2027-28,0.352,0.01
99,0.37,Budget 2018_2027-28,0.375,0.005
100,0.41,Budget 2018_2027-28,0.415,0.005
