Taxable_Income_percentile,T201718,variable,value,delta
1,0,Baseline_2027-28,0,0
2,0,Baseline_2027-28,0,0
3,0,Baseline_2027-28,0,0
4,0,Baseline_2027-28,0,0
5,0,Baseline_2027-28,0,0
6,0,Baseline_2027-28,0,0
7,0,Baseline_2027-28,0,0
8,0,Baseline_2027-28,0,0
9,0,Baseline_2027-28,0,0
10,0,Baseline_2027-28,0,0
11,0,Baseline_2027-28,0,0
12,0,Baseline_2027-28,0,0
13,0,Baseline_2027-28,0,0
14,0,Baseline_2027-28,0,0
15,0,Baseline_2027-28,0,0
16,0,Baseline_2027-28,0,0
17,0,Baseline_2027-28,0,0
18,0,Baseline_2027-28,0.006,0.006
19,0,Baseline_2027-28,0.014,0.014
20,0,Baseline_2027-28,0.021,0.021
21,0,Baseline_2027-28,0.028,0.028
22,0,Baseline_2027-28,0.035,0.035
23,0.003,Baseline_2027-28,0.044,0.041
24,0.009,Baseline_2027-28,0.053,0.044
25,0.016,Baseline_2027-28,0.061,0.045
26,0.024,Baseline_2027-28,0.067,0.043
27,0.031,Baseline_2027-28,0.075,0.044
28,0.038,Baseline_2027-28,0.081,0.043
29,0.045,Baseline_2027-28,0.084,0.039
30,0.053,Baseline_2027-28,0.088,0.035
31,0.058,Baseline_2027-28,0.094,0.036
32,0.062,Baseline_2027-28,0.1,0.038
33,0.066,Baseline_2027-28,0.109,0.043
34,0.07,Baseline_2027-28,0.117,0.047
35,0.073,Baseline_2027-28,0.125,0.052
36,0.077,Baseline_2027-28,0.133,0.056
37,0.082,Baseline_2027-28,0.14,0.058
38,0.086,Baseline_2027-28,0.147,0.061
39,0.088,Baseline_2027-28,0.153,0.065
40,0.093,Baseline_2027-28,0.159,0.066
41,0.097,Baseline_2027-28,0.165,0.068
42,0.102,Baseline_2027-28,0.17,0.068
43,0.108,Baseline_2027-28,0.174,0.066
44,0.115,Baseline_2027-28,0.179,0.064
45,0.121,Baseline_2027-28,0.183,0.062
46,0.127,Baseline_2027-28,0.187,0.06
47,0.132,Baseline_2027-28,0.191,0.059
48,0.137,Baseline_2027-28,0.194,0.057
49,0.142,Baseline_2027-28,0.198,0.056
50,0.147,Baseline_2027-28,0.201,0.054
51,0.151,Baseline_2027-28,0.204,0.053
52,0.155,Baseline_2027-28,0.207,0.052
53,0.16,Baseline_2027-28,0.211,0.051
54,0.164,Baseline_2027-28,0.214,0.05
55,0.168,Baseline_2027-28,0.217,0.049
56,0.172,Baseline_2027-28,0.219,0.047
57,0.176,Baseline_2027-28,0.222,0.046
58,0.179,Baseline_2027-28,0.225,0.046
59,0.183,Baseline_2027-28,0.227,0.044
60,0.186,Baseline_2027-28,0.229,0.043
61,0.19,Baseline_2027-28,0.232,0.042
62,0.193,Baseline_2027-28,0.234,0.041
63,0.197,Baseline_2027-28,0.237,0.04
