fy_year,Taxable_Income_percentile,avg_tax_rate
2018-19,1,0
2018-19,2,0
2018-19,3,0
2018-19,4,0
2018-19,5,0
2018-19,6,0
2018-19,7,0
2018-19,8,0
2018-19,9,0
2018-19,10,0
2018-19,11,0
2018-19,12,0
2018-19,13,0
2018-19,14,0
2018-19,15,0
2018-19,16,0
2018-19,17,0
2018-19,18,0
2018-19,19,0
2018-19,20,0
2018-19,21,0
2018-19,22,4e-04
2018-19,23,0.0052
2018-19,24,0.0121
2018-19,25,0.0202
2018-19,26,0.0274
2018-19,27,0.0345
2018-19,28,0.041
2018-19,29,0.0497
2018-19,30,0.0554
2018-19,31,0.0597
2018-19,32,0.0633
2018-19,33,0.0673
2018-19,34,0.0717
2018-19,35,0.0751
2018-19,36,0.0786
2018-19,37,0.0841
2018-19,38,0.0863
2018-19,39,0.0912
2018-19,40,0.0956
2018-19,41,0.0994
2018-19,42,0.1059
2018-19,43,0.1124
2018-19,44,0.1182
2018-19,45,0.1243
2018-19,46,0.1301
2018-19,47,0.1352
2018-19,48,0.1403
2018-19,49,0.1452
2018-19,50,0.1495
2018-19,51,0.154
2018-19,52,0.1584
2018-19,53,0.1626
2018-19,54,0.1668
2018-19,55,0.1707
2018-19,56,0.1745
2018-19,57,0.178
2018-19,58,0.1816
2018-19,59,0.1852
2018-19,60,0.1888
2018-19,61,0.1923
2018-19,62,0.1957
2018-19,63,0.199
2018-19,64,0.2024
2018-19,65,0.2056
2018-19,66,0.2087
2018-19,67,0.2119
2018-19,68,0.2151
2018-19,69,0.2181
2018-19,70,0.2206
2018-19,71,0.2234
2018-19,72,0.226
2018-19,73,0.2287
2018-19,74,0.2312
2018-19,75,0.2338
2018-19,76,0.2363
2018-19,77,0.2387
2018-19,78,0.2412
2018-19,79,0.2438
2018-19,80,0.2462
2018-19,81,0.2486
2018-19,82,0.2513
2018-19,83,0.2549
2018-19,84,0.2586
2018-19,85,0.2622
2018-19,86,0.2661
2018-19,87,0.27
2018-19,88,0.274
2018-19,89,0.2781
2018-19,90,0.2826
2018-19,91,0.2872
2018-19,92,0.2921
2018-19,93,0.2973
2018-19,94,0.3028
2018-19,95,0.309
2018-19,96,0.3156
2018-19,97,0.3258
2018-19,98,0.3432
2018-19,99,0.3704
2018-19,100,0.411
2019-20,1,0
2019-20,2,0
2019-20,3,0
2019-20,4,0
2019-20,5,0
2019-20,6,0
2019-20,7,0
2019-20,8,0
2019-20,9,0
2019-20,10,0
2019-20,11,0
2019-20,12,0
2019-20,13,0
2019-20,14,0
2019-20,15,0
2019-20,16,0
2019-20,17,0
2019-20,18,0
2019-20,19,0
2019-20,20,0
2019-20,21,0
2019-20,22,0.0013
2019-20,23,0.0068
2019-20,24,0.0134
2019-20,25,0.0213
2019-20,26,0.029
2019-20,27,0.0356
2019-20,28,0.0432
2019-20,29,0.0505
2019-20,30,0.0566
2019-20,31,0.0609
2019-20,32,0.065
2019-20,33,0.0695
2019-20,34,0.0726
2019-20,35,0.0765
2019-20,36,0.0806
2019-20,37,0.0849
2019-20,38,0.0889
2019-20,39,0.0942
2019-20,40,0.097
