id,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25,2025-26,2026-27,2027-28
Budget2018_baseline,0,-0.1,-0.1,-0.2,-0.2,-0.3,-0.3,-0.3,-0.4,-0.4
Baseline_brackets_cpi,-2.3,-4.5,-6.8,-9.2,-11.8,-14.5,-17.3,-20.3,-23.5,-26.8
Budget2018_just_rates,-0.4,-0.5,-0.6,-0.7,-9.8,-10.3,-17.5,-18.6,-19.9,-21.1
Budget2018_lamington_et_LITO,-3.8,-3.9,-4,-4.1,-0.7,-0.8,-0.8,-0.8,-0.8,-0.9
Budget2018,-4.2,-4.4,-4.5,-4.6,-10.3,-10.8,-18,-19.1,-20.3,-21.6
Budget2018_Step1and2,-4.2,-4.4,-4.5,-4.6,-10.3,-10.8,-11.3,-11.9,-12.4,-13
ALP2018,-7,-7.2,-7.4,-7.6,-16.7,-17.3,-17.9,-18.5,-19.1,-19.7
