fy_year,Quintile,total_delta_bn,max_income,min_income,avg_income,Financial year ending
2018-19,5,-0.9,4129329,87927,159232.1,2019
2018-19,4,-1.5,87927,56510,70566.7,2019
2018-19,3,-1.2,56509,37037,46351.8,2019
2018-19,2,-0.5,37037,19550,27959.2,2019
2018-19,1,0,19550,0,9086,2019
2019-20,5,-0.8,4225888,90607,164222.5,2020
2019-20,4,-1.6,90606,58066,72622.8,2020
2019-20,3,-1.3,58066,38025,47607,2020
2019-20,2,-0.6,38024,20021,28686.2,2020
2019-20,1,0,20021,0,9310.3,2020
2020-21,5,-0.8,4335521,93645,169964.2,2021
2020-21,4,-1.6,93643,59836,74952,2021
2020-21,3,-1.4,59836,39137,49030.7,2021
2020-21,2,-0.6,39137,20549,29518.4,2021
2020-21,1,0,20549,0,9576,2021
2021-22,5,-0.7,4437311,96691,175601.8,2022
2021-22,4,-1.6,96687,61618,77295.6,2022
2021-22,3,-1.4,61618,40250,50458.3,2022
2021-22,2,-0.7,40249,21066,30343.2,2022
2021-22,1,0,21066,0,9814.5,2022
2022-23,5,-5.6,4540524,99904,181514.2,2023
2022-23,4,-1.9,99904,63488,79758.5,2023
2022-23,3,-1.6,63487,41429,51961.6,2023
2022-23,2,-0.9,41429,21626,31220.3,2023
2022-23,1,0,21626,0,10075.9,2023
2023-24,5,-5.8,4645205,103179,187541.7,2024
2023-24,4,-2,103179,65420,82269.4,2024
2023-24,3,-1.7,65420,42628,53492.3,2024
2023-24,2,-1,42627,22175,32105.1,2024
2023-24,1,0,22175,0,10321.2,2024
2024-25,5,-12.5,4751403,106619,193809,2025
2024-25,4,-2.2,106619,67415,84887.6,2025
2024-25,3,-1.7,67414,43885,55092.8,2025
2024-25,2,-1.1,43884,22761,33031.8,2025
2024-25,1,0,22761,0,10576.3,2025
2025-26,5,-13.2,4859169,110128,200226.3,2026
2025-26,4,-2.4,110127,69458,87565.9,2026
2025-26,3,-1.7,69458,45175,56724.8,2026
2025-26,2,-1.2,45174,23324,33973,2026
2025-26,1,-0.1,23323,0,10821.1,2026
2026-27,5,-14,4968554,113751,206885.2,2027
2026-27,4,-2.7,113751,71570,90350.4,2027
2026-27,3,-1.7,71569,46504,58421.8,2027
2026-27,2,-1.2,46504,23908,34954.4,2027
2026-27,1,-0.1,23907,0,11074.8,2027
2027-28,5,-14.8,5079615,117502,213716.9,2028
2027-28,4,-3,117501,73734,93207.6,2028
2027-28,3,-1.7,73734,47851,60162.6,2028
2027-28,2,-1.3,47851,24500,35954.8,2028
2027-28,1,-0.1,24499,0,11320,2028
