id,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25,2025-26,2026-27,2027-28
Budget2018_baseline,0,-0.1,-0.1,-0.2,-0.2,-0.3,-0.3,-0.4,-0.4,-0.5
Baseline_brackets_cpi,-2.3,-4.5,-6.8,-9.2,-11.8,-14.5,-17.4,-20.5,-23.7,-27.1
Budget2018_just_rates,-0.4,-0.5,-0.6,-0.7,-9.7,-10.2,-17,-18.1,-19.3,-20.5
Budget2018_lamington_et_LITO,-3.7,-3.9,-4,-4.1,-0.8,-0.8,-0.8,-0.9,-0.9,-1
Budget2018,-4.1,-4.3,-4.5,-4.6,-10.2,-10.7,-17.5,-18.6,-19.8,-21
Budget2018_Step1and2,-4.1,-4.3,-4.5,-4.6,-10.2,-10.7,-11.3,-11.8,-12.4,-13
ALP2018,-6.9,-7.1,-7.4,-7.6,-16.7,-17.4,-18,-18.7,-19.4,-20
