Taxable_Income_decile,total,share
1,0,0
4,0,0
5,6980963.97960592,0.002
6,94322544.9522549,0.024
7,253497834.635124,0.064
8,471328156.744601,0.119
9,786646889.385339,0.198
10,2352361813.37841,0.593
