id,Revenue/$bn
Budget2018_baseline,-2.7
Baseline_brackets_cpi,-125.5
Budget2018_just_rates,-79.8
Budget2018_lamington_et_LITO,-21.4
Budget2018,-98.6
Budget2018_Step1and2,-78.2
ALP2018,-130.5
