Decile,total_delta,prop
1,0,0
2,-1758996,0.005
3,-9259654,0.0262
4,-13338816,0.0377
5,-14677777,0.0415
6,-14543757,0.0411
7,-15314398,0.0433
8,-35123316,0.0992
9,-75885542,0.2143
10,-174176629,0.4919
