Taxable_Income_decile,total,min_income,tot_adults,share
1,0,0,7315000,0
4,0,1,1901000,0
5,24403603,15724,2304000,0.004
6,174877055,31933,2304000,0.032
7,412395171,49739,2304000,0.075
8,695053180,68087,2304000,0.126
9,1125698821,92553,2304000,0.203
10,3100014658,135945,2304000,0.56
