id,Revenue/$bn
Budget2018_baseline,-2
Baseline_brackets_cpi,-119.4
Budget2018_just_rates,-123.5
Budget2018_lamington_et_LITO,-19.8
Budget2018,-141.4
Budget2018_Step1and2,-113.6
ALP2018,-163.1
