Decile,2017-18,2027-28 baseline,2027-28 budget
1,0,0,0
2,0,0,0
3,0.004,0.008,0.008
4,0.016,0.023,0.023
5,0.034,0.043,0.043
6,0.058,0.063,0.063
7,0.086,0.087,0.087
8,0.121,0.122,0.122
9,0.178,0.179,0.179
91-99 perc.,0.329,0.321,0.321
1%,0.175,0.152,0.152
